serum,virus,replicate,concentration,well_id,plate_name,experiment_rep,fraction infectivity,input_folder
86_9,RSV B 1992,1,0.025,F2,B 1992 Plate 1,RSV_Historical_Sera_1,0.00246,24.11.14_additional_isolates
86_9,RSV B 1992,1,0.008333,F3,B 1992 Plate 1,RSV_Historical_Sera_1,0.003519,24.11.14_additional_isolates
86_9,RSV B 1992,1,0.002778,F4,B 1992 Plate 1,RSV_Historical_Sera_1,0.00758,24.11.14_additional_isolates
86_9,RSV B 1992,1,0.0009259,F5,B 1992 Plate 1,RSV_Historical_Sera_1,0.006305,24.11.14_additional_isolates
86_9,RSV B 1992,1,0.0003086,F6,B 1992 Plate 1,RSV_Historical_Sera_1,0.02135,24.11.14_additional_isolates
86_9,RSV B 1992,1,0.0001029,F7,B 1992 Plate 1,RSV_Historical_Sera_1,0.1641,24.11.14_additional_isolates
86_9,RSV B 1992,1,3.429e-05,F8,B 1992 Plate 1,RSV_Historical_Sera_1,0.5855,24.11.14_additional_isolates
86_9,RSV B 1992,1,1.143e-05,F9,B 1992 Plate 1,RSV_Historical_Sera_1,0.7898,24.11.14_additional_isolates
86_9,RSV B 1992,1,3.81e-06,F10,B 1992 Plate 1,RSV_Historical_Sera_1,1.005,24.11.14_additional_isolates
86_9,RSV B 1992,2,0.025,G2,B 1992 Plate 1,RSV_Historical_Sera_1,0.002227,24.11.14_additional_isolates
86_9,RSV B 1992,2,0.008333,G3,B 1992 Plate 1,RSV_Historical_Sera_1,0.003063,24.11.14_additional_isolates
86_9,RSV B 1992,2,0.002778,G4,B 1992 Plate 1,RSV_Historical_Sera_1,0.002546,24.11.14_additional_isolates
86_9,RSV B 1992,2,0.0009259,G5,B 1992 Plate 1,RSV_Historical_Sera_1,0.008026,24.11.14_additional_isolates
86_9,RSV B 1992,2,0.0003086,G6,B 1992 Plate 1,RSV_Historical_Sera_1,0.01206,24.11.14_additional_isolates
86_9,RSV B 1992,2,0.0001029,G7,B 1992 Plate 1,RSV_Historical_Sera_1,0.1219,24.11.14_additional_isolates
86_9,RSV B 1992,2,3.429e-05,G8,B 1992 Plate 1,RSV_Historical_Sera_1,0.5295,24.11.14_additional_isolates
86_9,RSV B 1992,2,1.143e-05,G9,B 1992 Plate 1,RSV_Historical_Sera_1,0.7712,24.11.14_additional_isolates
86_9,RSV B 1992,2,3.81e-06,G10,B 1992 Plate 1,RSV_Historical_Sera_1,0.8963,24.11.14_additional_isolates
86_6,RSV B 1992,1,0.025,D2,B 1992 Plate 1,RSV_Historical_Sera_1,0.002377,24.11.14_additional_isolates
86_6,RSV B 1992,1,0.008333,D3,B 1992 Plate 1,RSV_Historical_Sera_1,0.01048,24.11.14_additional_isolates
86_6,RSV B 1992,1,0.002778,D4,B 1992 Plate 1,RSV_Historical_Sera_1,0.06632,24.11.14_additional_isolates
86_6,RSV B 1992,1,0.0009259,D5,B 1992 Plate 1,RSV_Historical_Sera_1,0.2352,24.11.14_additional_isolates
86_6,RSV B 1992,1,0.0003086,D6,B 1992 Plate 1,RSV_Historical_Sera_1,0.5781,24.11.14_additional_isolates
