serum,virus,replicate,concentration,well_id,plate_name,experiment_rep,fraction infectivity,input_folder
85_1,RSV B N201T,1,0.01,F2,V3P1,RSV_Historical_Sera_1,0.0113,25.01.23
85_1,RSV B N201T,1,0.003333,F3,V3P1,RSV_Historical_Sera_1,0.2851,25.01.23
85_1,RSV B N201T,1,0.001111,F4,V3P1,RSV_Historical_Sera_1,0.7026,25.01.23
85_1,RSV B N201T,1,0.0003704,F5,V3P1,RSV_Historical_Sera_1,1.07,25.01.23
85_1,RSV B N201T,1,0.0001235,F6,V3P1,RSV_Historical_Sera_1,1.298,25.01.23
85_1,RSV B N201T,1,4.115e-05,F7,V3P1,RSV_Historical_Sera_1,1.362,25.01.23
85_1,RSV B N201T,1,1.372e-05,F8,V3P1,RSV_Historical_Sera_1,1.056,25.01.23
85_1,RSV B N201T,1,4.572e-06,F9,V3P1,RSV_Historical_Sera_1,1.1,25.01.23
85_1,RSV B N201T,1,1.524e-06,F10,V3P1,RSV_Historical_Sera_1,1.035,25.01.23
85_1,RSV B N201T,2,0.01,G2,V3P1,RSV_Historical_Sera_1,0.05154,25.01.23
85_1,RSV B N201T,2,0.003333,G3,V3P1,RSV_Historical_Sera_1,0.2186,25.01.23
85_1,RSV B N201T,2,0.001111,G4,V3P1,RSV_Historical_Sera_1,0.6553,25.01.23
85_1,RSV B N201T,2,0.0003704,G5,V3P1,RSV_Historical_Sera_1,0.8408,25.01.23
85_1,RSV B N201T,2,0.0001235,G6,V3P1,RSV_Historical_Sera_1,0.9727,25.01.23
85_1,RSV B N201T,2,4.115e-05,G7,V3P1,RSV_Historical_Sera_1,1.036,25.01.23
85_1,RSV B N201T,2,1.372e-05,G8,V3P1,RSV_Historical_Sera_1,1.065,25.01.23
85_1,RSV B N201T,2,4.572e-06,G9,V3P1,RSV_Historical_Sera_1,0.9096,25.01.23
85_1,RSV B N201T,2,1.524e-06,G10,V3P1,RSV_Historical_Sera_1,0.9564,25.01.23
85_2,RSV B N201T,1,0.01,D2,V3P1,RSV_Historical_Sera_1,0.06806,25.01.23
85_2,RSV B N201T,1,0.003333,D3,V3P1,RSV_Historical_Sera_1,0.3378,25.01.23
85_2,RSV B N201T,1,0.001111,D4,V3P1,RSV_Historical_Sera_1,0.8859,25.01.23
85_2,RSV B N201T,1,0.0003704,D5,V3P1,RSV_Historical_Sera_1,1.232,25.01.23
85_2,RSV B N201T,1,0.0001235,D6,V3P1,RSV_Historical_Sera_1,1.217,25.01.23
85_2,RSV B N201T,1,4.115e-05,D7,V3P1,RSV_Historical_Sera_1,1.148,25.01.23
85_2,RSV B N201T,1,1.372e-05,D8,V3P1,RSV_Historical_Sera_1,1.262,25.01.23
85_2,RSV B N201T,1,4.572e-06,D9,V3P1,RSV_Historical_Sera_1,1.259,25.01.23
85_2,RSV B N201T,1,1.524e-06,D10,V3P1,RSV_Historical_Sera_1,1.296,25.01.23
85_2,RSV B N201T,2,0.01,E2,V3P1,RSV_Historical_Sera_1,0.043,25.01.23
85_2,RSV B N201T,2,0.003333,E3,V3P1,RSV_Historical_Sera_1,0.2504,25.01.23
85_2,RSV B N201T,2,0.001111,E4,V3P1,RSV_Historical_Sera_1,0.781,25.01.23
85_2,RSV B N201T,2,0.0003704,E5,V3P1,RSV_Historical_Sera_1,1.043,25.01.23
85_2,RSV B N201T,2,0.0001235,E6,V3P1,RSV_Historical_Sera_1,1.302,25.01.23
85_2,RSV B N201T,2,4.115e-05,E7,V3P1,RSV_Historical_Sera_1,1.108,25.01.23
85_2,RSV B N201T,2,1.372e-05,E8,V3P1,RSV_Historical_Sera_1,1.233,25.01.23
85_2,RSV B N201T,2,4.572e-06,E9,V3P1,RSV_Historical_Sera_1,1.111,25.01.23
85_2,RSV B N201T,2,1.524e-06,E10,V3P1,RSV_Historical_Sera_1,1.267,25.01.23
85_4,RSV B N201T,1,0.01,B2,V3P1,RSV_Historical_Sera_1,0.115,25.01.23
85_4,RSV B N201T,1,0.003333,B3,V3P1,RSV_Historical_Sera_1,0.5284,25.01.23
85_4,RSV B N201T,1,0.001111,B4,V3P1,RSV_Historical_Sera_1,1.148,25.01.23
85_4,RSV B N201T,1,0.0003704,B5,V3P1,RSV_Historical_Sera_1,1.283,25.01.23
85_4,RSV B N201T,1,0.0001235,B6,V3P1,RSV_Historical_Sera_1,1.184,25.01.23
85_4,RSV B N201T,1,4.115e-05,B7,V3P1,RSV_Historical_Sera_1,1.114,25.01.23
85_4,RSV B N201T,1,1.372e-05,B8,V3P1,RSV_Historical_Sera_1,1.247,25.01.23
85_4,RSV B N201T,1,4.572e-06,B9,V3P1,RSV_Historical_Sera_1,1.073,25.01.23
85_4,RSV B N201T,1,1.524e-06,B10,V3P1,RSV_Historical_Sera_1,0.9868,25.01.23
85_4,RSV B N201T,2,0.01,C2,V3P1,RSV_Historical_Sera_1,0.1379,25.01.23
85_4,RSV B N201T,2,0.003333,C3,V3P1,RSV_Historical_Sera_1,0.5108,25.01.23
85_4,RSV B N201T,2,0.001111,C4,V3P1,RSV_Historical_Sera_1,1.003,25.01.23
85_4,RSV B N201T,2,0.0003704,C5,V3P1,RSV_Historical_Sera_1,1.116,25.01.23
85_4,RSV B N201T,2,0.0001235,C6,V3P1,RSV_Historical_Sera_1,1.288,25.01.23
85_4,RSV B N201T,2,4.115e-05,C7,V3P1,RSV_Historical_Sera_1,1.26,25.01.23
85_4,RSV B N201T,2,1.372e-05,C8,V3P1,RSV_Historical_Sera_1,1.195,25.01.23
85_4,RSV B N201T,2,4.572e-06,C9,V3P1,RSV_Historical_Sera_1,1.224,25.01.23
85_4,RSV B N201T,2,1.524e-06,C10,V3P1,RSV_Historical_Sera_1,1.039,25.01.23
85_6,RSV B N201T,1,0.01,F2,V3P2,RSV_Historical_Sera_1,0.004855,25.01.23
85_6,RSV B N201T,1,0.003333,F3,V3P2,RSV_Historical_Sera_1,0.0748,25.01.23
85_6,RSV B N201T,1,0.001111,F4,V3P2,RSV_Historical_Sera_1,0.4117,25.01.23
85_6,RSV B N201T,1,0.0003704,F5,V3P2,RSV_Historical_Sera_1,0.7437,25.01.23
85_6,RSV B N201T,1,0.0001235,F6,V3P2,RSV_Historical_Sera_1,0.9395,25.01.23
85_6,RSV B N201T,1,4.115e-05,F7,V3P2,RSV_Historical_Sera_1,1.139,25.01.23
