serum,virus,replicate,concentration,well_id,plate_name,experiment_rep,fraction infectivity,input_folder
85_1,RSV B 1982,1,0.01,F2,V2P1,RSV_Historical_Sera_1,0.02757,2025.01.09
85_1,RSV B 1982,1,0.003333,F3,V2P1,RSV_Historical_Sera_1,0.05883,2025.01.09
85_1,RSV B 1982,1,0.001111,F4,V2P1,RSV_Historical_Sera_1,0.7745,2025.01.09
85_1,RSV B 1982,1,0.0003704,F5,V2P1,RSV_Historical_Sera_1,0.614,2025.01.09
85_1,RSV B 1982,1,0.0001235,F6,V2P1,RSV_Historical_Sera_1,0.5119,2025.01.09
85_1,RSV B 1982,1,4.115e-05,F7,V2P1,RSV_Historical_Sera_1,0.8496,2025.01.09
85_1,RSV B 1982,1,1.372e-05,F8,V2P1,RSV_Historical_Sera_1,0.9936,2025.01.09
85_1,RSV B 1982,1,4.572e-06,F9,V2P1,RSV_Historical_Sera_1,1.341,2025.01.09
85_1,RSV B 1982,1,1.524e-06,F10,V2P1,RSV_Historical_Sera_1,0.7126,2025.01.09
85_1,RSV B 1982,2,0.01,G2,V2P1,RSV_Historical_Sera_1,0.01106,2025.01.09
85_1,RSV B 1982,2,0.003333,G3,V2P1,RSV_Historical_Sera_1,0.1712,2025.01.09
85_1,RSV B 1982,2,0.001111,G4,V2P1,RSV_Historical_Sera_1,0.0855,2025.01.09
85_1,RSV B 1982,2,0.0003704,G5,V2P1,RSV_Historical_Sera_1,0.6239,2025.01.09
85_1,RSV B 1982,2,0.0001235,G6,V2P1,RSV_Historical_Sera_1,0.6578,2025.01.09
85_1,RSV B 1982,2,4.115e-05,G7,V2P1,RSV_Historical_Sera_1,1.437,2025.01.09
85_1,RSV B 1982,2,1.372e-05,G8,V2P1,RSV_Historical_Sera_1,0.9476,2025.01.09
85_1,RSV B 1982,2,4.572e-06,G9,V2P1,RSV_Historical_Sera_1,1.373,2025.01.09
85_1,RSV B 1982,2,1.524e-06,G10,V2P1,RSV_Historical_Sera_1,0.4789,2025.01.09
85_2,RSV B 1982,1,0.01,D2,V2P1,RSV_Historical_Sera_1,0.04276,2025.01.09
85_2,RSV B 1982,1,0.003333,D3,V2P1,RSV_Historical_Sera_1,0.07066,2025.01.09
85_2,RSV B 1982,1,0.001111,D4,V2P1,RSV_Historical_Sera_1,0.8194,2025.01.09
