serum,virus,replicate,concentration,well_id,plate_name,experiment_rep,fraction infectivity,input_folder
85_1,RSV B 1992 ,1,0.01,F2,V3P1,RSV_Historical_Sera_2,0.006151,24.12.13_RSVNeut_HistoricalSera_Rep1
85_1,RSV B 1992 ,1,0.003333,F3,V3P1,RSV_Historical_Sera_2,0.1258,24.12.13_RSVNeut_HistoricalSera_Rep1
85_1,RSV B 1992 ,1,0.001111,F4,V3P1,RSV_Historical_Sera_2,0.3375,24.12.13_RSVNeut_HistoricalSera_Rep1
85_1,RSV B 1992 ,1,0.0003704,F5,V3P1,RSV_Historical_Sera_2,0.9068,24.12.13_RSVNeut_HistoricalSera_Rep1
85_1,RSV B 1992 ,1,0.0001235,F6,V3P1,RSV_Historical_Sera_2,0.8811,24.12.13_RSVNeut_HistoricalSera_Rep1
85_1,RSV B 1992 ,1,4.115e-05,F7,V3P1,RSV_Historical_Sera_2,1.056,24.12.13_RSVNeut_HistoricalSera_Rep1
85_1,RSV B 1992 ,1,1.372e-05,F8,V3P1,RSV_Historical_Sera_2,1.197,24.12.13_RSVNeut_HistoricalSera_Rep1
85_1,RSV B 1992 ,1,4.572e-06,F9,V3P1,RSV_Historical_Sera_2,1.167,24.12.13_RSVNeut_HistoricalSera_Rep1
85_1,RSV B 1992 ,1,1.524e-06,F10,V3P1,RSV_Historical_Sera_2,1.229,24.12.13_RSVNeut_HistoricalSera_Rep1
85_1,RSV B 1992 ,2,0.01,G2,V3P1,RSV_Historical_Sera_2,0.01851,24.12.13_RSVNeut_HistoricalSera_Rep1
85_1,RSV B 1992 ,2,0.003333,G3,V3P1,RSV_Historical_Sera_2,0.09998,24.12.13_RSVNeut_HistoricalSera_Rep1
85_1,RSV B 1992 ,2,0.001111,G4,V3P1,RSV_Historical_Sera_2,0.4189,24.12.13_RSVNeut_HistoricalSera_Rep1
85_1,RSV B 1992 ,2,0.0003704,G5,V3P1,RSV_Historical_Sera_2,0.8029,24.12.13_RSVNeut_HistoricalSera_Rep1
85_1,RSV B 1992 ,2,0.0001235,G6,V3P1,RSV_Historical_Sera_2,0.9446,24.12.13_RSVNeut_HistoricalSera_Rep1
85_1,RSV B 1992 ,2,4.115e-05,G7,V3P1,RSV_Historical_Sera_2,0.9684,24.12.13_RSVNeut_HistoricalSera_Rep1
85_1,RSV B 1992 ,2,1.372e-05,G8,V3P1,RSV_Historical_Sera_2,1.345,24.12.13_RSVNeut_HistoricalSera_Rep1
85_1,RSV B 1992 ,2,4.572e-06,G9,V3P1,RSV_Historical_Sera_2,0.9805,24.12.13_RSVNeut_HistoricalSera_Rep1
85_1,RSV B 1992 ,2,1.524e-06,G10,V3P1,RSV_Historical_Sera_2,0.699,24.12.13_RSVNeut_HistoricalSera_Rep1
85_2,RSV B 1992 ,1,0.01,D2,V3P1,RSV_Historical_Sera_2,0.01689,24.12.13_RSVNeut_HistoricalSera_Rep1
85_2,RSV B 1992 ,1,0.003333,D3,V3P1,RSV_Historical_Sera_2,0.2175,24.12.13_RSVNeut_HistoricalSera_Rep1
85_2,RSV B 1992 ,1,0.001111,D4,V3P1,RSV_Historical_Sera_2,0.5305,24.12.13_RSVNeut_HistoricalSera_Rep1
85_2,RSV B 1992 ,1,0.0003704,D5,V3P1,RSV_Historical_Sera_2,1.061,24.12.13_RSVNeut_HistoricalSera_Rep1
85_2,RSV B 1992 ,1,0.0001235,D6,V3P1,RSV_Historical_Sera_2,0.8068,24.12.13_RSVNeut_HistoricalSera_Rep1
85_2,RSV B 1992 ,1,4.115e-05,D7,V3P1,RSV_Historical_Sera_2,0.9735,24.12.13_RSVNeut_HistoricalSera_Rep1
85_2,RSV B 1992 ,1,1.372e-05,D8,V3P1,RSV_Historical_Sera_2,1.358,24.12.13_RSVNeut_HistoricalSera_Rep1
85_2,RSV B 1992 ,1,4.572e-06,D9,V3P1,RSV_Historical_Sera_2,0.9594,24.12.13_RSVNeut_HistoricalSera_Rep1
85_2,RSV B 1992 ,1,1.524e-06,D10,V3P1,RSV_Historical_Sera_2,1.094,24.12.13_RSVNeut_HistoricalSera_Rep1
