serum,virus,replicate,concentration,well_id,plate_name,experiment_rep,fraction infectivity,input_folder
86_7,RSV A 1982,1,0.025,F2,v1p5,RSV_Historical_Sera_1,0.001366,24.10.11_RSVNeut_Sera_Evo1
86_7,RSV A 1982,1,0.008333,F3,v1p5,RSV_Historical_Sera_1,0.005284,24.10.11_RSVNeut_Sera_Evo1
86_7,RSV A 1982,1,0.002778,F4,v1p5,RSV_Historical_Sera_1,0.1602,24.10.11_RSVNeut_Sera_Evo1
86_7,RSV A 1982,1,0.0009259,F5,v1p5,RSV_Historical_Sera_1,0.3958,24.10.11_RSVNeut_Sera_Evo1
86_7,RSV A 1982,1,0.0003086,F6,v1p5,RSV_Historical_Sera_1,0.7249,24.10.11_RSVNeut_Sera_Evo1
86_7,RSV A 1982,1,0.0001029,F7,v1p5,RSV_Historical_Sera_1,1.051,24.10.11_RSVNeut_Sera_Evo1
86_7,RSV A 1982,1,3.429e-05,F8,v1p5,RSV_Historical_Sera_1,1.251,24.10.11_RSVNeut_Sera_Evo1
86_7,RSV A 1982,1,1.143e-05,F9,v1p5,RSV_Historical_Sera_1,0.7429,24.10.11_RSVNeut_Sera_Evo1
86_7,RSV A 1982,1,3.81e-06,F10,v1p5,RSV_Historical_Sera_1,1.09,24.10.11_RSVNeut_Sera_Evo1
86_7,RSV A 1982,2,0.025,G2,v1p5,RSV_Historical_Sera_1,0.001322,24.10.11_RSVNeut_Sera_Evo1
86_7,RSV A 1982,2,0.008333,G3,v1p5,RSV_Historical_Sera_1,0.006625,24.10.11_RSVNeut_Sera_Evo1
86_7,RSV A 1982,2,0.002778,G4,v1p5,RSV_Historical_Sera_1,0.1075,24.10.11_RSVNeut_Sera_Evo1
86_7,RSV A 1982,2,0.0009259,G5,v1p5,RSV_Historical_Sera_1,0.4417,24.10.11_RSVNeut_Sera_Evo1
86_7,RSV A 1982,2,0.0003086,G6,v1p5,RSV_Historical_Sera_1,0.804,24.10.11_RSVNeut_Sera_Evo1
86_7,RSV A 1982,2,0.0001029,G7,v1p5,RSV_Historical_Sera_1,0.841,24.10.11_RSVNeut_Sera_Evo1
86_7,RSV A 1982,2,3.429e-05,G8,v1p5,RSV_Historical_Sera_1,1.137,24.10.11_RSVNeut_Sera_Evo1
86_7,RSV A 1982,2,1.143e-05,G9,v1p5,RSV_Historical_Sera_1,1.127,24.10.11_RSVNeut_Sera_Evo1
86_7,RSV A 1982,2,3.81e-06,G10,v1p5,RSV_Historical_Sera_1,0.9649,24.10.11_RSVNeut_Sera_Evo1
86_8,RSV A 1982,1,0.025,D2,v1p5,RSV_Historical_Sera_1,0.002305,24.10.11_RSVNeut_Sera_Evo1
86_8,RSV A 1982,1,0.008333,D3,v1p5,RSV_Historical_Sera_1,0.009916,24.10.11_RSVNeut_Sera_Evo1
86_8,RSV A 1982,1,0.002778,D4,v1p5,RSV_Historical_Sera_1,0.1336,24.10.11_RSVNeut_Sera_Evo1
86_8,RSV A 1982,1,0.0009259,D5,v1p5,RSV_Historical_Sera_1,0.3316,24.10.11_RSVNeut_Sera_Evo1
86_8,RSV A 1982,1,0.0003086,D6,v1p5,RSV_Historical_Sera_1,0.7793,24.10.11_RSVNeut_Sera_Evo1
86_8,RSV A 1982,1,0.0001029,D7,v1p5,RSV_Historical_Sera_1,0.8035,24.10.11_RSVNeut_Sera_Evo1
86_8,RSV A 1982,1,3.429e-05,D8,v1p5,RSV_Historical_Sera_1,0.8226,24.10.11_RSVNeut_Sera_Evo1
86_8,RSV A 1982,1,1.143e-05,D9,v1p5,RSV_Historical_Sera_1,0.8643,24.10.11_RSVNeut_Sera_Evo1
86_8,RSV A 1982,1,3.81e-06,D10,v1p5,RSV_Historical_Sera_1,1.033,24.10.11_RSVNeut_Sera_Evo1
86_8,RSV A 1982,2,0.025,E2,v1p5,RSV_Historical_Sera_1,0.001517,24.10.11_RSVNeut_Sera_Evo1
86_8,RSV A 1982,2,0.008333,E3,v1p5,RSV_Historical_Sera_1,0.003438,24.10.11_RSVNeut_Sera_Evo1
86_8,RSV A 1982,2,0.002778,E4,v1p5,RSV_Historical_Sera_1,0.1519,24.10.11_RSVNeut_Sera_Evo1
86_8,RSV A 1982,2,0.0009259,E5,v1p5,RSV_Historical_Sera_1,0.2863,24.10.11_RSVNeut_Sera_Evo1
