serum,virus,replicate,concentration,well_id,plate_name,experiment_rep,fraction infectivity,input_folder
87_7,RSV B 1992 ,1,0.01,F2,V3P4,RSV_Historical_Sera_1,0.001389,24.12.19_Sera_RSV_rep2
87_7,RSV B 1992 ,1,0.003333,F3,V3P4,RSV_Historical_Sera_1,0.005097,24.12.19_Sera_RSV_rep2
87_7,RSV B 1992 ,1,0.001111,F4,V3P4,RSV_Historical_Sera_1,0.07989,24.12.19_Sera_RSV_rep2
87_7,RSV B 1992 ,1,0.0003704,F5,V3P4,RSV_Historical_Sera_1,0.3043,24.12.19_Sera_RSV_rep2
87_7,RSV B 1992 ,1,0.0001235,F6,V3P4,RSV_Historical_Sera_1,0.7758,24.12.19_Sera_RSV_rep2
87_7,RSV B 1992 ,1,4.115e-05,F7,V3P4,RSV_Historical_Sera_1,0.955,24.12.19_Sera_RSV_rep2
87_7,RSV B 1992 ,1,1.372e-05,F8,V3P4,RSV_Historical_Sera_1,1.007,24.12.19_Sera_RSV_rep2
87_7,RSV B 1992 ,1,4.572e-06,F9,V3P4,RSV_Historical_Sera_1,1.048,24.12.19_Sera_RSV_rep2
87_7,RSV B 1992 ,1,1.524e-06,F10,V3P4,RSV_Historical_Sera_1,1.13,24.12.19_Sera_RSV_rep2
87_7,RSV B 1992 ,2,0.01,G2,V3P4,RSV_Historical_Sera_1,0.00116,24.12.19_Sera_RSV_rep2
87_7,RSV B 1992 ,2,0.003333,G3,V3P4,RSV_Historical_Sera_1,0.01401,24.12.19_Sera_RSV_rep2
87_7,RSV B 1992 ,2,0.001111,G4,V3P4,RSV_Historical_Sera_1,0.1043,24.12.19_Sera_RSV_rep2
87_7,RSV B 1992 ,2,0.0003704,G5,V3P4,RSV_Historical_Sera_1,0.3274,24.12.19_Sera_RSV_rep2
87_7,RSV B 1992 ,2,0.0001235,G6,V3P4,RSV_Historical_Sera_1,0.8279,24.12.19_Sera_RSV_rep2
87_7,RSV B 1992 ,2,4.115e-05,G7,V3P4,RSV_Historical_Sera_1,1.002,24.12.19_Sera_RSV_rep2
87_7,RSV B 1992 ,2,1.372e-05,G8,V3P4,RSV_Historical_Sera_1,0.8152,24.12.19_Sera_RSV_rep2
87_7,RSV B 1992 ,2,4.572e-06,G9,V3P4,RSV_Historical_Sera_1,0.9435,24.12.19_Sera_RSV_rep2
87_7,RSV B 1992 ,2,1.524e-06,G10,V3P4,RSV_Historical_Sera_1,1.259,24.12.19_Sera_RSV_rep2
87_8,RSV B 1992 ,1,0.01,D2,V3P4,RSV_Historical_Sera_1,0.003593,24.12.19_Sera_RSV_rep2
87_8,RSV B 1992 ,1,0.003333,D3,V3P4,RSV_Historical_Sera_1,0.01379,24.12.19_Sera_RSV_rep2
87_8,RSV B 1992 ,1,0.001111,D4,V3P4,RSV_Historical_Sera_1,0.08595,24.12.19_Sera_RSV_rep2
87_8,RSV B 1992 ,1,0.0003704,D5,V3P4,RSV_Historical_Sera_1,0.4535,24.12.19_Sera_RSV_rep2
87_8,RSV B 1992 ,1,0.0001235,D6,V3P4,RSV_Historical_Sera_1,0.7353,24.12.19_Sera_RSV_rep2
87_8,RSV B 1992 ,1,4.115e-05,D7,V3P4,RSV_Historical_Sera_1,1.074,24.12.19_Sera_RSV_rep2
87_8,RSV B 1992 ,1,1.372e-05,D8,V3P4,RSV_Historical_Sera_1,0.8372,24.12.19_Sera_RSV_rep2
87_8,RSV B 1992 ,1,4.572e-06,D9,V3P4,RSV_Historical_Sera_1,1.079,24.12.19_Sera_RSV_rep2
87_8,RSV B 1992 ,1,1.524e-06,D10,V3P4,RSV_Historical_Sera_1,0.9375,24.12.19_Sera_RSV_rep2
87_8,RSV B 1992 ,2,0.01,E2,V3P4,RSV_Historical_Sera_1,0.002315,24.12.19_Sera_RSV_rep2
87_8,RSV B 1992 ,2,0.003333,E3,V3P4,RSV_Historical_Sera_1,0.01713,24.12.19_Sera_RSV_rep2
87_8,RSV B 1992 ,2,0.001111,E4,V3P4,RSV_Historical_Sera_1,0.04758,24.12.19_Sera_RSV_rep2
87_8,RSV B 1992 ,2,0.0003704,E5,V3P4,RSV_Historical_Sera_1,0.4138,24.12.19_Sera_RSV_rep2
87_8,RSV B 1992 ,2,0.0001235,E6,V3P4,RSV_Historical_Sera_1,0.9346,24.12.19_Sera_RSV_rep2
87_8,RSV B 1992 ,2,4.115e-05,E7,V3P4,RSV_Historical_Sera_1,1.133,24.12.19_Sera_RSV_rep2
87_8,RSV B 1992 ,2,1.372e-05,E8,V3P4,RSV_Historical_Sera_1,1.073,24.12.19_Sera_RSV_rep2
87_8,RSV B 1992 ,2,4.572e-06,E9,V3P4,RSV_Historical_Sera_1,1.133,24.12.19_Sera_RSV_rep2
87_8,RSV B 1992 ,2,1.524e-06,E10,V3P4,RSV_Historical_Sera_1,1.194,24.12.19_Sera_RSV_rep2
85_8,RSV B 1992 ,1,0.01,F2,V3P3,RSV_Historical_Sera_1,0.001112,24.12.19_Sera_RSV_rep2
85_8,RSV B 1992 ,1,0.003333,F3,V3P3,RSV_Historical_Sera_1,0.001628,24.12.19_Sera_RSV_rep2
85_8,RSV B 1992 ,1,0.001111,F4,V3P3,RSV_Historical_Sera_1,0.02198,24.12.19_Sera_RSV_rep2
85_8,RSV B 1992 ,1,0.0003704,F5,V3P3,RSV_Historical_Sera_1,0.2497,24.12.19_Sera_RSV_rep2
85_8,RSV B 1992 ,1,0.0001235,F6,V3P3,RSV_Historical_Sera_1,0.7485,24.12.19_Sera_RSV_rep2
85_8,RSV B 1992 ,1,4.115e-05,F7,V3P3,RSV_Historical_Sera_1,0.6989,24.12.19_Sera_RSV_rep2
85_8,RSV B 1992 ,1,1.372e-05,F8,V3P3,RSV_Historical_Sera_1,0.6403,24.12.19_Sera_RSV_rep2
85_8,RSV B 1992 ,1,4.572e-06,F9,V3P3,RSV_Historical_Sera_1,0.6972,24.12.19_Sera_RSV_rep2
85_8,RSV B 1992 ,1,1.524e-06,F10,V3P3,RSV_Historical_Sera_1,0.6833,24.12.19_Sera_RSV_rep2
85_8,RSV B 1992 ,2,0.01,G2,V3P3,RSV_Historical_Sera_1,0.0006894,24.12.19_Sera_RSV_rep2
85_8,RSV B 1992 ,2,0.003333,G3,V3P3,RSV_Historical_Sera_1,0.002512,24.12.19_Sera_RSV_rep2
85_8,RSV B 1992 ,2,0.001111,G4,V3P3,RSV_Historical_Sera_1,0.02213,24.12.19_Sera_RSV_rep2
85_8,RSV B 1992 ,2,0.0003704,G5,V3P3,RSV_Historical_Sera_1,0.3007,24.12.19_Sera_RSV_rep2
85_8,RSV B 1992 ,2,0.0001235,G6,V3P3,RSV_Historical_Sera_1,0.454,24.12.19_Sera_RSV_rep2
85_8,RSV B 1992 ,2,4.115e-05,G7,V3P3,RSV_Historical_Sera_1,0.7061,24.12.19_Sera_RSV_rep2
85_8,RSV B 1992 ,2,1.372e-05,G8,V3P3,RSV_Historical_Sera_1,0.6515,24.12.19_Sera_RSV_rep2
85_8,RSV B 1992 ,2,4.572e-06,G9,V3P3,RSV_Historical_Sera_1,1.018,24.12.19_Sera_RSV_rep2
