serum,virus,replicate,concentration,well_id,plate_name,experiment_rep,fraction infectivity,input_folder
85_4,RSV B 2024,1,3.81e-06,B10,V4P1,RSV_Historical_Sera_2,0.9483,24.10.17_RSVNeut_Sera_Evo2
85_4,RSV B 2024,2,0.025,C2,V4P1,RSV_Historical_Sera_2,0.02556,24.10.17_RSVNeut_Sera_Evo2
85_4,RSV B 2024,2,0.008333,C3,V4P1,RSV_Historical_Sera_2,0.1979,24.10.17_RSVNeut_Sera_Evo2
85_4,RSV B 2024,2,0.002778,C4,V4P1,RSV_Historical_Sera_2,0.4635,24.10.17_RSVNeut_Sera_Evo2
85_4,RSV B 2024,2,0.0009259,C5,V4P1,RSV_Historical_Sera_2,0.6546,24.10.17_RSVNeut_Sera_Evo2
85_4,RSV B 2024,2,0.0003086,C6,V4P1,RSV_Historical_Sera_2,0.696,24.10.17_RSVNeut_Sera_Evo2
85_4,RSV B 2024,2,0.0001029,C7,V4P1,RSV_Historical_Sera_2,1.021,24.10.17_RSVNeut_Sera_Evo2
85_4,RSV B 2024,2,3.429e-05,C8,V4P1,RSV_Historical_Sera_2,0.9554,24.10.17_RSVNeut_Sera_Evo2
85_4,RSV B 2024,2,1.143e-05,C9,V4P1,RSV_Historical_Sera_2,0.8822,24.10.17_RSVNeut_Sera_Evo2
85_4,RSV B 2024,2,3.81e-06,C10,V4P1,RSV_Historical_Sera_2,0.9512,24.10.17_RSVNeut_Sera_Evo2
85_6,RSV B 2024,1,0.025,F2,V4P2,RSV_Historical_Sera_2,0.0006728,24.10.17_RSVNeut_Sera_Evo2
85_6,RSV B 2024,1,0.008333,F3,V4P2,RSV_Historical_Sera_2,0.0138,24.10.17_RSVNeut_Sera_Evo2
85_6,RSV B 2024,1,0.002778,F4,V4P2,RSV_Historical_Sera_2,0.07588,24.10.17_RSVNeut_Sera_Evo2
85_6,RSV B 2024,1,0.0009259,F5,V4P2,RSV_Historical_Sera_2,0.2703,24.10.17_RSVNeut_Sera_Evo2
85_6,RSV B 2024,1,0.0003086,F6,V4P2,RSV_Historical_Sera_2,0.5403,24.10.17_RSVNeut_Sera_Evo2
85_6,RSV B 2024,1,0.0001029,F7,V4P2,RSV_Historical_Sera_2,0.6031,24.10.17_RSVNeut_Sera_Evo2
