,serum,virus,replicate,concentration,well_id,plate_name,experiment_rep,fraction infectivity,input_folder,Unnamed: 9
2340,85_1,RSV B N201T,1,0.01,F2,V2P1,RSV_Historical_Sera_2,0.0446,25.01.23,
2341,85_1,RSV B N201T,1,0.003333,F3,V2P1,RSV_Historical_Sera_2,0.1781,25.01.23,
2342,85_1,RSV B N201T,1,0.001111,F4,V2P1,RSV_Historical_Sera_2,0.4114,25.01.23,
2343,85_1,RSV B N201T,1,0.0003704,F5,V2P1,RSV_Historical_Sera_2,0.7541,25.01.23,
2344,85_1,RSV B N201T,1,0.0001235,F6,V2P1,RSV_Historical_Sera_2,0.9462,25.01.23,
2345,85_1,RSV B N201T,1,4.115e-05,F7,V2P1,RSV_Historical_Sera_2,1.051,25.01.23,
2346,85_1,RSV B N201T,1,1.372e-05,F8,V2P1,RSV_Historical_Sera_2,1.127,25.01.23,
2347,85_1,RSV B N201T,1,4.572e-06,F9,V2P1,RSV_Historical_Sera_2,0.8845,25.01.23,
2348,85_1,RSV B N201T,1,1.524e-06,F10,V2P1,RSV_Historical_Sera_2,1.11,25.01.23,
2349,85_1,RSV B N201T,2,0.01,G2,V2P1,RSV_Historical_Sera_2,0.02063,25.01.23,
2350,85_1,RSV B N201T,2,0.003333,G3,V2P1,RSV_Historical_Sera_2,0.2344,25.01.23,
2351,85_1,RSV B N201T,2,0.001111,G4,V2P1,RSV_Historical_Sera_2,0.488,25.01.23,
2352,85_1,RSV B N201T,2,0.0003704,G5,V2P1,RSV_Historical_Sera_2,0.7708,25.01.23,
2353,85_1,RSV B N201T,2,0.0001235,G6,V2P1,RSV_Historical_Sera_2,0.9046,25.01.23,
2354,85_1,RSV B N201T,2,4.115e-05,G7,V2P1,RSV_Historical_Sera_2,1.082,25.01.23,
2355,85_1,RSV B N201T,2,1.372e-05,G8,V2P1,RSV_Historical_Sera_2,1.038,25.01.23,
2356,85_1,RSV B N201T,2,4.572e-06,G9,V2P1,RSV_Historical_Sera_2,1.108,25.01.23,
2357,85_1,RSV B N201T,2,1.524e-06,G10,V2P1,RSV_Historical_Sera_2,1.04,25.01.23,
2358,85_2,RSV B N201T,1,0.01,D2,V2P1,RSV_Historical_Sera_2,0.04597,25.01.23,
2359,85_2,RSV B N201T,1,0.003333,D3,V2P1,RSV_Historical_Sera_2,0.2482,25.01.23,
2360,85_2,RSV B N201T,1,0.001111,D4,V2P1,RSV_Historical_Sera_2,0.5593,25.01.23,
2361,85_2,RSV B N201T,1,0.0003704,D5,V2P1,RSV_Historical_Sera_2,0.8582,25.01.23,
2362,85_2,RSV B N201T,1,0.0001235,D6,V2P1,RSV_Historical_Sera_2,1.011,25.01.23,
2363,85_2,RSV B N201T,1,4.115e-05,D7,V2P1,RSV_Historical_Sera_2,1.095,25.01.23,
2364,85_2,RSV B N201T,1,1.372e-05,D8,V2P1,RSV_Historical_Sera_2,1.048,25.01.23,
2365,85_2,RSV B N201T,1,4.572e-06,D9,V2P1,RSV_Historical_Sera_2,1.056,25.01.23,
2366,85_2,RSV B N201T,1,1.524e-06,D10,V2P1,RSV_Historical_Sera_2,1.061,25.01.23,
2367,85_2,RSV B N201T,2,0.01,E2,V2P1,RSV_Historical_Sera_2,0.007225,25.01.23,
2368,85_2,RSV B N201T,2,0.003333,E3,V2P1,RSV_Historical_Sera_2,0.2286,25.01.23,
2369,85_2,RSV B N201T,2,0.001111,E4,V2P1,RSV_Historical_Sera_2,0.5437,25.01.23,
2370,85_2,RSV B N201T,2,0.0003704,E5,V2P1,RSV_Historical_Sera_2,0.8682,25.01.23,
2371,85_2,RSV B N201T,2,0.0001235,E6,V2P1,RSV_Historical_Sera_2,0.963,25.01.23,
2372,85_2,RSV B N201T,2,4.115e-05,E7,V2P1,RSV_Historical_Sera_2,0.9938,25.01.23,
2373,85_2,RSV B N201T,2,1.372e-05,E8,V2P1,RSV_Historical_Sera_2,0.9867,25.01.23,
2374,85_2,RSV B N201T,2,4.572e-06,E9,V2P1,RSV_Historical_Sera_2,1.128,25.01.23,
2375,85_2,RSV B N201T,2,1.524e-06,E10,V2P1,RSV_Historical_Sera_2,1.008,25.01.23,
2376,85_4,RSV B N201T,1,0.01,B2,V2P1,RSV_Historical_Sera_2,0.06995,25.01.23,
2377,85_4,RSV B N201T,1,0.003333,B3,V2P1,RSV_Historical_Sera_2,0.2704,25.01.23,
2378,85_4,RSV B N201T,1,0.001111,B4,V2P1,RSV_Historical_Sera_2,0.7362,25.01.23,
2379,85_4,RSV B N201T,1,0.0003704,B5,V2P1,RSV_Historical_Sera_2,0.9563,25.01.23,
2380,85_4,RSV B N201T,1,0.0001235,B6,V2P1,RSV_Historical_Sera_2,0.8875,25.01.23,
2381,85_4,RSV B N201T,1,4.115e-05,B7,V2P1,RSV_Historical_Sera_2,0.8437,25.01.23,
2382,85_4,RSV B N201T,1,1.372e-05,B8,V2P1,RSV_Historical_Sera_2,1.061,25.01.23,
2383,85_4,RSV B N201T,1,4.572e-06,B9,V2P1,RSV_Historical_Sera_2,0.8459,25.01.23,
2384,85_4,RSV B N201T,1,1.524e-06,B10,V2P1,RSV_Historical_Sera_2,1.02,25.01.23,
2385,85_4,RSV B N201T,2,0.01,C2,V2P1,RSV_Historical_Sera_2,0.05463,25.01.23,
2386,85_4,RSV B N201T,2,0.003333,C3,V2P1,RSV_Historical_Sera_2,0.3682,25.01.23,
2387,85_4,RSV B N201T,2,0.001111,C4,V2P1,RSV_Historical_Sera_2,0.8515,25.01.23,
