,serum,virus,replicate,concentration,well_id,plate_name,experiment_rep,fraction infectivity,input_folder,Unnamed: 9
1692,85_1,RSV B N201T,1,0.01,F2,V3P1,RSV_Historical_Sera_1,0.0113,25.01.23,
1693,85_1,RSV B N201T,1,0.003333,F3,V3P1,RSV_Historical_Sera_1,0.2851,25.01.23,
1694,85_1,RSV B N201T,1,0.001111,F4,V3P1,RSV_Historical_Sera_1,0.7026,25.01.23,
1695,85_1,RSV B N201T,1,0.0003704,F5,V3P1,RSV_Historical_Sera_1,1.07,25.01.23,
1696,85_1,RSV B N201T,1,0.0001235,F6,V3P1,RSV_Historical_Sera_1,1.298,25.01.23,
1697,85_1,RSV B N201T,1,4.115e-05,F7,V3P1,RSV_Historical_Sera_1,1.362,25.01.23,
1698,85_1,RSV B N201T,1,1.372e-05,F8,V3P1,RSV_Historical_Sera_1,1.056,25.01.23,
1699,85_1,RSV B N201T,1,4.572e-06,F9,V3P1,RSV_Historical_Sera_1,1.1,25.01.23,
1700,85_1,RSV B N201T,1,1.524e-06,F10,V3P1,RSV_Historical_Sera_1,1.035,25.01.23,
1701,85_1,RSV B N201T,2,0.01,G2,V3P1,RSV_Historical_Sera_1,0.05154,25.01.23,
1702,85_1,RSV B N201T,2,0.003333,G3,V3P1,RSV_Historical_Sera_1,0.2186,25.01.23,
1703,85_1,RSV B N201T,2,0.001111,G4,V3P1,RSV_Historical_Sera_1,0.6553,25.01.23,
1704,85_1,RSV B N201T,2,0.0003704,G5,V3P1,RSV_Historical_Sera_1,0.8408,25.01.23,
1705,85_1,RSV B N201T,2,0.0001235,G6,V3P1,RSV_Historical_Sera_1,0.9727,25.01.23,
1706,85_1,RSV B N201T,2,4.115e-05,G7,V3P1,RSV_Historical_Sera_1,1.036,25.01.23,
1707,85_1,RSV B N201T,2,1.372e-05,G8,V3P1,RSV_Historical_Sera_1,1.065,25.01.23,
