,serum,virus,replicate,concentration,well_id,plate_name,experiment_rep,fraction infectivity,input_folder,Unnamed: 9
324,Greninger16,RSV A2,1,0.025,F2,G6,Greninger_1,0.05809,24.10.31_RSVNeut_ControlSera_Greninger,
325,Greninger16,RSV A2,1,0.008333,F3,G6,Greninger_1,0.2354,24.10.31_RSVNeut_ControlSera_Greninger,
326,Greninger16,RSV A2,1,0.002778,F4,G6,Greninger_1,0.4089,24.10.31_RSVNeut_ControlSera_Greninger,
327,Greninger16,RSV A2,1,0.0009259,F5,G6,Greninger_1,0.5713,24.10.31_RSVNeut_ControlSera_Greninger,
328,Greninger16,RSV A2,1,0.0003086,F6,G6,Greninger_1,0.8481,24.10.31_RSVNeut_ControlSera_Greninger,
329,Greninger16,RSV A2,1,0.0001029,F7,G6,Greninger_1,0.8172,24.10.31_RSVNeut_ControlSera_Greninger,
330,Greninger16,RSV A2,1,3.429e-05,F8,G6,Greninger_1,0.7847,24.10.31_RSVNeut_ControlSera_Greninger,
331,Greninger16,RSV A2,1,1.143e-05,F9,G6,Greninger_1,0.9333,24.10.31_RSVNeut_ControlSera_Greninger,
332,Greninger16,RSV A2,1,3.81e-06,F10,G6,Greninger_1,1.165,24.10.31_RSVNeut_ControlSera_Greninger,
333,Greninger16,RSV A2,2,0.025,G2,G6,Greninger_1,0.02523,24.10.31_RSVNeut_ControlSera_Greninger,
334,Greninger16,RSV A2,2,0.008333,G3,G6,Greninger_1,0.2197,24.10.31_RSVNeut_ControlSera_Greninger,
335,Greninger16,RSV A2,2,0.002778,G4,G6,Greninger_1,0.4021,24.10.31_RSVNeut_ControlSera_Greninger,
336,Greninger16,RSV A2,2,0.0009259,G5,G6,Greninger_1,0.657,24.10.31_RSVNeut_ControlSera_Greninger,
337,Greninger16,RSV A2,2,0.0003086,G6,G6,Greninger_1,0.9435,24.10.31_RSVNeut_ControlSera_Greninger,
338,Greninger16,RSV A2,2,0.0001029,G7,G6,Greninger_1,1.06,24.10.31_RSVNeut_ControlSera_Greninger,
339,Greninger16,RSV A2,2,3.429e-05,G8,G6,Greninger_1,1.03,24.10.31_RSVNeut_ControlSera_Greninger,
340,Greninger16,RSV A2,2,1.143e-05,G9,G6,Greninger_1,0.8903,24.10.31_RSVNeut_ControlSera_Greninger,
341,Greninger16,RSV A2,2,3.81e-06,G10,G6,Greninger_1,0.9781,24.10.31_RSVNeut_ControlSera_Greninger,
342,Greninger17,RSV A2,1,0.025,D2,G6,Greninger_1,0.06491,24.10.31_RSVNeut_ControlSera_Greninger,
343,Greninger17,RSV A2,1,0.008333,D3,G6,Greninger_1,0.2172,24.10.31_RSVNeut_ControlSera_Greninger,
344,Greninger17,RSV A2,1,0.002778,D4,G6,Greninger_1,0.5546,24.10.31_RSVNeut_ControlSera_Greninger,
345,Greninger17,RSV A2,1,0.0009259,D5,G6,Greninger_1,0.83,24.10.31_RSVNeut_ControlSera_Greninger,
346,Greninger17,RSV A2,1,0.0003086,D6,G6,Greninger_1,0.9257,24.10.31_RSVNeut_ControlSera_Greninger,
347,Greninger17,RSV A2,1,0.0001029,D7,G6,Greninger_1,0.9156,24.10.31_RSVNeut_ControlSera_Greninger,
348,Greninger17,RSV A2,1,3.429e-05,D8,G6,Greninger_1,0.9713,24.10.31_RSVNeut_ControlSera_Greninger,
349,Greninger17,RSV A2,1,1.143e-05,D9,G6,Greninger_1,0.957,24.10.31_RSVNeut_ControlSera_Greninger,
350,Greninger17,RSV A2,1,3.81e-06,D10,G6,Greninger_1,0.989,24.10.31_RSVNeut_ControlSera_Greninger,
351,Greninger17,RSV A2,2,0.025,E2,G6,Greninger_1,0.01778,24.10.31_RSVNeut_ControlSera_Greninger,
352,Greninger17,RSV A2,2,0.008333,E3,G6,Greninger_1,0.2171,24.10.31_RSVNeut_ControlSera_Greninger,
353,Greninger17,RSV A2,2,0.002778,E4,G6,Greninger_1,0.5152,24.10.31_RSVNeut_ControlSera_Greninger,
354,Greninger17,RSV A2,2,0.0009259,E5,G6,Greninger_1,0.8464,24.10.31_RSVNeut_ControlSera_Greninger,
355,Greninger17,RSV A2,2,0.0003086,E6,G6,Greninger_1,1.073,24.10.31_RSVNeut_ControlSera_Greninger,
356,Greninger17,RSV A2,2,0.0001029,E7,G6,Greninger_1,1.034,24.10.31_RSVNeut_ControlSera_Greninger,
357,Greninger17,RSV A2,2,3.429e-05,E8,G6,Greninger_1,0.8937,24.10.31_RSVNeut_ControlSera_Greninger,
358,Greninger17,RSV A2,2,1.143e-05,E9,G6,Greninger_1,0.9975,24.10.31_RSVNeut_ControlSera_Greninger,
359,Greninger17,RSV A2,2,3.81e-06,E10,G6,Greninger_1,0.9873,24.10.31_RSVNeut_ControlSera_Greninger,
360,Greninger18,RSV A2,1,0.025,B2,G6,Greninger_1,0.07388,24.10.31_RSVNeut_ControlSera_Greninger,
361,Greninger18,RSV A2,1,0.008333,B3,G6,Greninger_1,0.1485,24.10.31_RSVNeut_ControlSera_Greninger,
362,Greninger18,RSV A2,1,0.002778,B4,G6,Greninger_1,0.5141,24.10.31_RSVNeut_ControlSera_Greninger,
363,Greninger18,RSV A2,1,0.0009259,B5,G6,Greninger_1,0.5279,24.10.31_RSVNeut_ControlSera_Greninger,
364,Greninger18,RSV A2,1,0.0003086,B6,G6,Greninger_1,0.9257,24.10.31_RSVNeut_ControlSera_Greninger,
365,Greninger18,RSV A2,1,0.0001029,B7,G6,Greninger_1,0.9907,24.10.31_RSVNeut_ControlSera_Greninger,
366,Greninger18,RSV A2,1,3.429e-05,B8,G6,Greninger_1,0.9671,24.10.31_RSVNeut_ControlSera_Greninger,
367,Greninger18,RSV A2,1,1.143e-05,B9,G6,Greninger_1,0.9122,24.10.31_RSVNeut_ControlSera_Greninger,
368,Greninger18,RSV A2,1,3.81e-06,B10,G6,Greninger_1,1.03,24.10.31_RSVNeut_ControlSera_Greninger,
