,serum,virus,replicate,concentration,well_id,plate_name,experiment_rep,fraction infectivity,input_folder,Unnamed: 9
10332,85_1,Influenza H3 2022,1,0.025,F2,MA22 P1,H3_Historical_Sera_1,1.661,24.12.12_H3Neut_Rep1,
10333,85_1,Influenza H3 2022,1,0.008333,F3,MA22 P1,H3_Historical_Sera_1,2.822,24.12.12_H3Neut_Rep1,
10334,85_1,Influenza H3 2022,1,0.002778,F4,MA22 P1,H3_Historical_Sera_1,1.533,24.12.12_H3Neut_Rep1,
10335,85_1,Influenza H3 2022,1,0.0009259,F5,MA22 P1,H3_Historical_Sera_1,0.9334,24.12.12_H3Neut_Rep1,
10336,85_1,Influenza H3 2022,1,0.0003086,F6,MA22 P1,H3_Historical_Sera_1,1.041,24.12.12_H3Neut_Rep1,
10337,85_1,Influenza H3 2022,1,0.0001029,F7,MA22 P1,H3_Historical_Sera_1,0.9458,24.12.12_H3Neut_Rep1,
10338,85_1,Influenza H3 2022,1,3.429e-05,F8,MA22 P1,H3_Historical_Sera_1,1.119,24.12.12_H3Neut_Rep1,
10339,85_1,Influenza H3 2022,1,1.143e-05,F9,MA22 P1,H3_Historical_Sera_1,1.348,24.12.12_H3Neut_Rep1,
10340,85_1,Influenza H3 2022,1,3.81e-06,F10,MA22 P1,H3_Historical_Sera_1,1.362,24.12.12_H3Neut_Rep1,
10341,85_1,Influenza H3 2022,2,0.025,G2,MA22 P1,H3_Historical_Sera_1,1.996,24.12.12_H3Neut_Rep1,
10342,85_1,Influenza H3 2022,2,0.008333,G3,MA22 P1,H3_Historical_Sera_1,2.974,24.12.12_H3Neut_Rep1,
10343,85_1,Influenza H3 2022,2,0.002778,G4,MA22 P1,H3_Historical_Sera_1,1.816,24.12.12_H3Neut_Rep1,
10344,85_1,Influenza H3 2022,2,0.0009259,G5,MA22 P1,H3_Historical_Sera_1,0.9837,24.12.12_H3Neut_Rep1,
