serum,virus,replicate,concentration,fraction infectivity
Pooled Sera,A2020 F + A2020 G,1,0.01,0.001441893
Pooled Sera,A2020 F + A2020 G,1,0.0025,0.029623166
Pooled Sera,A2020 F + A2020 G,1,0.000625,0.198614822
Pooled Sera,A2020 F + A2020 G,1,0.00015625,0.685499264
Pooled Sera,A2020 F + A2020 G,1,3.90625E-05,1.109232699
Pooled Sera,A2020 F + A2020 G,1,9.76563E-06,1.197578666
Pooled Sera,A2020 F + A2020 G,1,2.44141E-06,0.996455254
Pooled Sera,A2020 F + A2020 G,1,6.10352E-07,1.157223101
Pooled Sera,A2020 F + A2020 G,1,1.52588E-07,1.221573867
Pooled Sera,A2020 F + A2020 G,2,0.01,0.00396248
Pooled Sera,A2020 F + A2020 G,2,0.0025,0.035949174
Pooled Sera,A2020 F + A2020 G,2,0.000625,0.170911272
Pooled Sera,A2020 F + A2020 G,2,0.00015625,0.632709822
Pooled Sera,A2020 F + A2020 G,2,3.90625E-05,0.949773682
Pooled Sera,A2020 F + A2020 G,2,9.76563E-06,1.271745651
Pooled Sera,A2020 F + A2020 G,2,2.44141E-06,0.905055353
Pooled Sera,A2020 F + A2020 G,2,6.10352E-07,1.138681355
Pooled Sera,A2020 F + A2020 G,2,1.52588E-07,0.996455254
Pooled Sera,A2020F + Long G,1,0.01,0.022403319
Pooled Sera,A2020F + Long G,1,0.0025,0.044755837
Pooled Sera,A2020F + Long G,1,0.000625,0.294773829
Pooled Sera,A2020F + Long G,1,0.00015625,0.591198696
Pooled Sera,A2020F + Long G,1,3.90625E-05,0.698262176
Pooled Sera,A2020F + Long G,1,9.76563E-06,0.913151155
Pooled Sera,A2020F + Long G,1,2.44141E-06,0.905276972
Pooled Sera,A2020F + Long G,1,6.10352E-07,0.865271045
Pooled Sera,A2020F + Long G,1,1.52588E-07,0.646444976
Pooled Sera,A2020F + Long G,2,0.01,0.004705459
Pooled Sera,A2020F + Long G,2,0.0025,0.106530068
Pooled Sera,A2020F + Long G,2,0.000625,0.383167877
Pooled Sera,A2020F + Long G,2,0.00015625,0.653684144
Pooled Sera,A2020F + Long G,2,3.90625E-05,1.198653769
Pooled Sera,A2020F + Long G,2,9.76563E-06,1.012594458
Pooled Sera,A2020F + Long G,2,2.44141E-06,0.7597316
Pooled Sera,A2020F + Long G,2,6.10352E-07,0.664479394
Pooled Sera,A2020F + Long G,2,1.52588E-07,0.838346422
Clinical Sera,A2020 F + A2020 G,1,0.01,0.014909745
Clinical Sera,A2020 F + A2020 G,1,0.0025,0.006795005
Clinical Sera,A2020 F + A2020 G,1,0.000625,0.053836505
Clinical Sera,A2020 F + A2020 G,1,0.00015625,0.369853302
Clinical Sera,A2020 F + A2020 G,1,3.90625E-05,0.654741779
Clinical Sera,A2020 F + A2020 G,1,9.76563E-06,0.830452091
Clinical Sera,A2020 F + A2020 G,1,2.44141E-06,0.69193434
Clinical Sera,A2020 F + A2020 G,1,6.10352E-07,0.875061351
Clinical Sera,A2020 F + A2020 G,1,1.52588E-07,0.879533184
Clinical Sera,A2020 F + A2020 G,2,0.01,0.017909145
Clinical Sera,A2020 F + A2020 G,2,0.0025,0.020254131
Clinical Sera,A2020 F + A2020 G,2,0.000625,0.0494083
Clinical Sera,A2020 F + A2020 G,2,0.00015625,0.481540056
Clinical Sera,A2020 F + A2020 G,2,3.90625E-05,0.609369035
Clinical Sera,A2020 F + A2020 G,2,9.76563E-06,0.956863173
Clinical Sera,A2020 F + A2020 G,2,2.44141E-06,0.969187981
Clinical Sera,A2020 F + A2020 G,2,6.10352E-07,1.042918689
Clinical Sera,A2020 F + A2020 G,2,1.52588E-07,1.003108469
Clinical Sera,A2020F + Long G,1,0.01,0.002214931
Clinical Sera,A2020F + Long G,1,0.0025,0.029312279
Clinical Sera,A2020F + Long G,1,0.000625,0.036881654
Clinical Sera,A2020F + Long G,1,0.00015625,0.395741168
Clinical Sera,A2020F + Long G,1,3.90625E-05,0.660796308
Clinical Sera,A2020F + Long G,1,9.76563E-06,0.709438435
Clinical Sera,A2020F + Long G,1,2.44141E-06,0.773447918
Clinical Sera,A2020F + Long G,1,6.10352E-07,0.838981436
Clinical Sera,A2020F + Long G,1,1.52588E-07,0.791355333
Clinical Sera,A2020F + Long G,2,0.01,0.029439282
Clinical Sera,A2020F + Long G,2,0.0025,0.003196664
Clinical Sera,A2020F + Long G,2,0.000625,0.12865398
Clinical Sera,A2020F + Long G,2,0.00015625,0.56071799
Clinical Sera,A2020F + Long G,2,3.90625E-05,0.608852105
Clinical Sera,A2020F + Long G,2,9.76563E-06,0.96001524
Clinical Sera,A2020F + Long G,2,2.44141E-06,0.810151769
Clinical Sera,A2020F + Long G,2,6.10352E-07,1.075460915
Clinical Sera,A2020F + Long G,2,1.52588E-07,0.875304278
