date,BEI or IntRef,serum,virus,replicate,concentration,fraction infectivity
24.10.31,BEI,BEI Medium Control NR-4022,RSV A2 R1,1,2.44141E-06,1.066012055
24.10.31,BEI,BEI Medium Control NR-4022,RSV A2 R1,1,6.10352E-07,1.067470348
24.10.31,BEI,BEI Medium Control NR-4022,RSV A2 R1,1,1.52588E-07,1.094011277
24.10.31,BEI,BEI Medium Control NR-4022,RSV A2 R1,2,0.01,0.008796422
24.10.31,BEI,BEI Medium Control NR-4022,RSV A2 R1,2,0.0025,0.039723897
24.10.31,BEI,BEI Medium Control NR-4022,RSV A2 R1,2,0.000625,0.303179078
24.10.31,BEI,BEI Medium Control NR-4022,RSV A2 R1,2,0.00015625,0.539276687
24.10.31,BEI,BEI Medium Control NR-4022,RSV A2 R1,2,3.90625E-05,1.073886836
24.10.31,BEI,BEI Medium Control NR-4022,RSV A2 R1,2,9.76563E-06,1.021388295
24.10.31,BEI,BEI Medium Control NR-4022,RSV A2 R1,2,2.44141E-06,1.097948668
24.10.31,BEI,BEI Medium Control NR-4022,RSV A2 R1,2,6.10352E-07,1.072136885
24.10.31,BEI,BEI Medium Control NR-4022,RSV A2 R1,2,1.52588E-07,1.297151468
24.10.31,BEI,BEI Medium Control NR-4022,RSV A2 R1,3,0.01,0.000878476
24.10.31,BEI,BEI Medium Control NR-4022,RSV A2 R1,3,0.0025,0.003028874
24.10.31,BEI,BEI Medium Control NR-4022,RSV A2 R1,3,0.000625,0.218160607
24.10.31,BEI,BEI Medium Control NR-4022,RSV A2 R1,3,0.00015625,0.694001556
24.10.31,BEI,BEI Medium Control NR-4022,RSV A2 R1,3,3.90625E-05,0.98784756
24.10.31,BEI,BEI Medium Control NR-4022,RSV A2 R1,3,9.76563E-06,1.131489403
24.10.31,BEI,BEI Medium Control NR-4022,RSV A2 R1,3,2.44141E-06,1.132947696
24.10.31,BEI,BEI Medium Control NR-4022,RSV A2 R1,3,6.10352E-07,1.252381878
