cell line,rep,virus number,virus,RLU,uL,RLU/uL,experiment
293T,1,1,bald,19830,50,396.6,ct del
293T,1,1,bald,1622,12.5,129.76,ct del
293T,1,1,bald,661.5,3.125,211.68,ct del
293T,1,1,bald,72.16,0.78125,92.3648,ct del
293T,1,1,bald,52.59,0.1953125,269.2608,ct del
293T,1,1,bald,99.46,0.048828125,2036.9408,ct del
293T,2,1,bald,12970,50,259.4,ct del
293T,2,1,bald,793.6,12.5,63.488,ct del
293T,2,1,bald,275.7,3.125,88.224,ct del
293T,2,1,bald,77.29,0.78125,98.9312,ct del
293T,2,1,bald,75.26,0.1953125,385.3312,ct del
293T,2,1,bald,117.9,0.048828125,2414.592,ct del
293T,1,2,F only,4044000,50,80880,ct del
293T,1,2,F only,757800,12.5,60624,ct del
293T,1,2,F only,190600,3.125,60992,ct del
293T,1,2,F only,4484,0.78125,5739.52,ct del
293T,1,2,F only,3834,0.1953125,19630.08,ct del
293T,1,2,F only,190,0.048828125,3891.2,ct del
293T,2,2,F only,3093000,50,61860,ct del
293T,2,2,F only,871700,12.5,69736,ct del
293T,2,2,F only,79480,3.125,25433.6,ct del
293T,2,2,F only,20580,0.78125,26342.4,ct del
293T,2,2,F only,52040,0.1953125,266444.8,ct del
293T,2,2,F only,34440,0.048828125,705331.2,ct del
293T,1,3,full G,5487000,50,109740,ct del
293T,1,3,full G,2352000,12.5,188160,ct del
293T,1,3,full G,703400,3.125,225088,ct del
293T,1,3,full G,236200,0.78125,302336,ct del
293T,1,3,full G,56510,0.1953125,289331.2,ct del
293T,1,3,full G,17230,0.048828125,352870.4,ct del
293T,2,3,full G,7057000,50,141140,ct del
293T,2,3,full G,2910000,12.5,232800,ct del
293T,2,3,full G,757100,3.125,242272,ct del
293T,2,3,full G,173100,0.78125,221568,ct del
293T,2,3,full G,97340,0.1953125,498380.8,ct del
293T,2,3,full G,16890,0.048828125,345907.2,ct del
293T,1,4,G -3,8093000,50,161860,ct del
293T,1,4,G -3,3345000,12.5,267600,ct del
293T,1,4,G -3,1190000,3.125,380800,ct del
293T,1,4,G -3,217700,0.78125,278656,ct del
293T,1,4,G -3,101100,0.1953125,517632,ct del
293T,1,4,G -3,42380,0.048828125,867942.4,ct del
293T,2,4,G -3,9721000,50,194420,ct del
293T,2,4,G -3,3218000,12.5,257440,ct del
293T,2,4,G -3,1182000,3.125,378240,ct del
293T,2,4,G -3,218000,0.78125,279040,ct del
293T,2,4,G -3,128600,0.1953125,658432,ct del
293T,2,4,G -3,13440,0.048828125,275251.2,ct del
293T,1,5,G -7,6359000,50,127180,ct del
293T,1,5,G -7,2652000,12.5,212160,ct del
293T,1,5,G -7,625300,3.125,200096,ct del
293T,1,5,G -7,149000,0.78125,190720,ct del
293T,1,5,G -7,84670,0.1953125,433510.4,ct del
293T,1,5,G -7,1670,0.048828125,34201.6,ct del
293T,2,5,G -7,7233000,50,144660,ct del
293T,2,5,G -7,2722000,12.5,217760,ct del
293T,2,5,G -7,731600,3.125,234112,ct del
