cell line,rep,virus number,virus,RLU,uL,RLU/uL,experiment
293T,2,5,G -7,166600,0.78125,213248,ct del
293T,2,5,G -7,59350,0.1953125,303872,ct del
293T,2,5,G -7,1543,0.048828125,31600.64,ct del
293T,1,6,G -11,6553000,50,131060,ct del
293T,1,6,G -11,2629000,12.5,210320,ct del
293T,1,6,G -11,945100,3.125,302432,ct del
293T,1,6,G -11,201100,0.78125,257408,ct del
293T,1,6,G -11,65480,0.1953125,335257.6,ct del
293T,1,6,G -11,8599,0.048828125,176107.52,ct del
293T,2,6,G -11,7135000,50,142700,ct del
293T,2,6,G -11,3563000,12.5,285040,ct del
293T,2,6,G -11,928500,3.125,297120,ct del
293T,2,6,G -11,206900,0.78125,264832,ct del
293T,2,6,G -11,91970,0.1953125,470886.4,ct del
293T,2,6,G -11,9350,0.048828125,191488,ct del
293T,1,7,G -15,68250000,50,1365000,ct del
293T,1,7,G -15,33550000,12.5,2684000,ct del
293T,1,7,G -15,10010000,3.125,3203200,ct del
293T,1,7,G -15,2811000,0.78125,3598080,ct del
293T,1,7,G -15,678300,0.1953125,3472896,ct del
293T,1,7,G -15,327200,0.048828125,6701056,ct del
293T,2,7,G -15,95500000,50,1910000,ct del
293T,2,7,G -15,34550000,12.5,2764000,ct del
293T,2,7,G -15,11500000,3.125,3680000,ct del
293T,2,7,G -15,2739000,0.78125,3505920,ct del
293T,2,7,G -15,648300,0.1953125,3319296,ct del
293T,2,7,G -15,299700,0.048828125,6137856,ct del
293T,1,8,G -19,260000000,50,5200000,ct del
293T,1,8,G -19,104100000,12.5,8328000,ct del
293T,1,8,G -19,30460000,3.125,9747200,ct del
293T,1,8,G -19,8578000,0.78125,10979840,ct del
293T,1,8,G -19,2136000,0.1953125,10936320,ct del
293T,1,8,G -19,621800,0.048828125,12734464,ct del
293T,2,8,G -19,317900000,50,6358000,ct del
293T,2,8,G -19,99140000,12.5,7931200,ct del
293T,2,8,G -19,31290000,3.125,10012800,ct del
293T,2,8,G -19,8327000,0.78125,10658560,ct del
293T,2,8,G -19,1957000,0.1953125,10019840,ct del
293T,2,8,G -19,443700,0.048828125,9086976,ct del
293T,1,9,G -23,186900000,50,3738000,ct del
293T,1,9,G -23,71120000,12.5,5689600,ct del
293T,1,9,G -23,18830000,3.125,6025600,ct del
293T,1,9,G -23,4766000,0.78125,6100480,ct del
293T,1,9,G -23,1263000,0.1953125,6466560,ct del
293T,1,9,G -23,388800,0.048828125,7962624,ct del
293T,2,9,G -23,210900000,50,4218000,ct del
293T,2,9,G -23,70100000,12.5,5608000,ct del
293T,2,9,G -23,19080000,3.125,6105600,ct del
293T,2,9,G -23,5282000,0.78125,6760960,ct del
293T,2,9,G -23,1348000,0.1953125,6901760,ct del
293T,2,9,G -23,376500,0.048828125,7710720,ct del
293T,1,10,G -27,476500000,50,9530000,ct del
293T,1,10,G -27,172800000,12.5,13824000,ct del
293T,1,10,G -27,52300000,3.125,16736000,ct del
293T,1,10,G -27,12870000,0.78125,16473600,ct del
293T,1,10,G -27,3568000,0.1953125,18268160,ct del
293T,1,10,G -27,764700,0.048828125,15661056,ct del
293T,2,10,G -27,197600000,12.5,15808000,ct del
293T,2,10,G -27,63580000,3.125,20345600,ct del
293T,2,10,G -27,14880000,0.78125,19046400,ct del
293T,2,10,G -27,3762000,0.1953125,19261440,ct del
293T,2,10,G -27,1121000,0.048828125,22958080,ct del
293T,1,11,G -31,over,50,#VALUE!,ct del
293T,1,11,G -31,259100000,12.5,20728000,ct del
293T,1,11,G -31,85020000,3.125,27206400,ct del
293T,1,11,G -31,25550000,0.78125,32704000,ct del
293T,1,11,G -31,7085000,0.1953125,36275200,ct del
293T,1,11,G -31,1869000,0.048828125,38277120,ct del
293T,2,11,G -31,over,50,#VALUE!,ct del
293T,2,11,G -31,266700000,12.5,21336000,ct del
293T,2,11,G -31,79660000,3.125,25491200,ct del
293T,2,11,G -31,24100000,0.78125,30848000,ct del
293T,2,11,G -31,5774000,0.1953125,29562880,ct del
293T,2,11,G -31,1796000,0.048828125,36782080,ct del
293T,1,12,G -35,291900000,50,5838000,ct del
293T,1,12,G -35,96450000,12.5,7716000,ct del
293T,1,12,G -35,28890000,3.125,9244800,ct del
293T,1,12,G -35,8072000,0.78125,10332160,ct del
293T,1,12,G -35,2516000,0.1953125,12881920,ct del
293T,1,12,G -35,681400,0.048828125,13955072,ct del
293T,2,12,G -35,327000000,50,6540000,ct del
293T,2,12,G -35,108100000,12.5,8648000,ct del
293T,2,12,G -35,30840000,3.125,9868800,ct del
293T,2,12,G -35,8457000,0.78125,10824960,ct del
293T,2,12,G -35,2170000,0.1953125,11110400,ct del
293T,2,12,G -35,466500,0.048828125,9553920,ct del
293T,1,13,G only,96310,50,1926.2,ct del
293T,1,13,G only,57050,12.5,4564,ct del
293T,1,13,G only,22260,3.125,7123.2,ct del
293T,1,13,G only,16280,0.78125,20838.4,ct del
293T,1,13,G only,185,0.1953125,947.2,ct del
293T,1,13,G only,88.45,0.048828125,1811.456,ct del
293T,1,14,full F,over,50,#VALUE!,ct del
293T,1,14,full F,227100000,12.5,18168000,ct del
293T,1,14,full F,68330000,3.125,21865600,ct del
293T,1,14,full F,19990000,0.78125,25587200,ct del
293T,1,14,full F,5088000,0.1953125,26050560,ct del
293T,1,14,full F,1441000,0.048828125,29511680,ct del
293T,2,14,full F,over,50,#VALUE!,ct del
293T,2,14,full F,207600000,12.5,16608000,ct del
293T,2,14,full F,67300000,3.125,21536000,ct del
293T,2,14,full F,20430000,0.78125,26150400,ct del
293T,2,14,full F,4892000,0.1953125,25047040,ct del
293T,2,14,full F,1283000,0.048828125,26275840,ct del
293T,1,15,F -4,over,50,#VALUE!,ct del
293T,1,15,F -4,268600000,12.5,21488000,ct del
293T,1,15,F -4,87240000,3.125,27916800,ct del
293T,1,15,F -4,26080000,0.78125,33382400,ct del
293T,1,15,F -4,6749000,0.1953125,34554880,ct del
293T,1,15,F -4,2037000,0.048828125,41717760,ct del
293T,2,15,F -4,over,50,#VALUE!,ct del
293T,2,15,F -4,313300000,12.5,25064000,ct del
293T,2,15,F -4,106900000,3.125,34208000,ct del
293T,2,15,F -4,31400000,0.78125,40192000,ct del
293T,2,15,F -4,8556000,0.1953125,43806720,ct del
293T,2,15,F -4,2101000,0.048828125,43028480,ct del
293T,1,16,F -8,over,50,#VALUE!,ct del
293T,1,16,F -8,268500000,12.5,21480000,ct del
293T,1,16,F -8,93910000,3.125,30051200,ct del
293T,1,16,F -8,22520000,0.78125,28825600,ct del
293T,1,16,F -8,5945000,0.1953125,30438400,ct del
293T,1,16,F -8,1690000,0.048828125,34611200,ct del
293T,2,16,F -8,over,50,#VALUE!,ct del
293T,2,16,F -8,259700000,12.5,20776000,ct del
293T,2,16,F -8,87530000,3.125,28009600,ct del
293T,2,16,F -8,20110000,0.78125,25740800,ct del
293T,2,16,F -8,5249000,0.1953125,26874880,ct del
293T,2,16,F -8,1432000,0.048828125,29327360,ct del
293T,1,17,F -12,455500000,50,9110000,ct del
293T,1,17,F -12,168900000,12.5,13512000,ct del
293T,1,17,F -12,51290000,3.125,16412800,ct del
293T,1,17,F -12,9548000,0.78125,12221440,ct del
293T,1,17,F -12,2177000,0.1953125,11146240,ct del
293T,1,17,F -12,567500,0.048828125,11622400,ct del
293T,2,17,F -12,486600000,50,9732000,ct del
293T,2,17,F -12,162700000,12.5,13016000,ct del
293T,2,17,F -12,50610000,3.125,16195200,ct del
293T,2,17,F -12,8995000,0.78125,11513600,ct del
293T,2,17,F -12,2296000,0.1953125,11755520,ct del
293T,2,17,F -12,528900,0.048828125,10831872,ct del
293T,1,18,F -16,2066000,50,41320,ct del
293T,1,18,F -16,1116000,12.5,89280,ct del
293T,1,18,F -16,414800,3.125,132736,ct del
293T,1,18,F -16,123400,0.78125,157952,ct del
293T,1,18,F -16,28070,0.1953125,143718.4,ct del
293T,1,18,F -16,7788,0.048828125,159498.24,ct del
293T,2,18,F -16,1041000,50,20820,ct del
293T,2,18,F -16,488300,12.5,39064,ct del
293T,2,18,F -16,180800,3.125,57856,ct del
293T,2,18,F -16,65490,0.78125,83827.2,ct del
293T,2,18,F -16,10950,0.1953125,56064,ct del
293T,2,18,F -16,5424,0.048828125,111083.52,ct del
293T,1,19,F -20,1330000,50,26600,ct del
293T,1,19,F -20,800900,12.5,64072,ct del
293T,1,19,F -20,353300,3.125,113056,ct del
293T,1,19,F -20,71300,0.78125,91264,ct del
293T,1,19,F -20,34670,0.1953125,177510.4,ct del
293T,1,19,F -20,13410,0.048828125,274636.8,ct del
293T,2,19,F -20,1676000,50,33520,ct del
293T,2,19,F -20,827700,12.5,66216,ct del
293T,2,19,F -20,412800,3.125,132096,ct del
293T,2,19,F -20,18310,0.78125,23436.8,ct del
293T,2,19,F -20,22330,0.1953125,114329.6,ct del
293T,2,19,F -20,9052,0.048828125,185384.96,ct del
293T,1,20,F -22,7605000,50,152100,ct del
293T,1,20,F -22,3687000,12.5,294960,ct del
293T,1,20,F -22,1504000,3.125,481280,ct del
293T,1,20,F -22,197800,0.78125,253184,ct del
293T,1,20,F -22,22860,0.1953125,117043.2,ct del
293T,1,20,F -22,12280,0.048828125,251494.4,ct del
293T,2,20,F -22,9093000,50,181860,ct del
293T,2,20,F -22,3580000,12.5,286400,ct del
293T,2,20,F -22,1413000,3.125,452160,ct del
293T,2,20,F -22,248800,0.78125,318464,ct del
293T,2,20,F -22,29810,0.1953125,152627.2,ct del
293T,2,20,F -22,2762,0.048828125,56565.76,ct del
293T,1,21,VSV-G ,23960000,0.1,239600000,ct del
293T,1,21,VSV-G ,5374000,0.025,214960000,ct del
293T,1,21,VSV-G ,1563000,0.00625,250080000,ct del
293T,1,21,VSV-G ,273700,0.0015625,175168000,ct del
293T,1,21,VSV-G ,59190,0.000390625,151526400,ct del
293T,1,21,VSV-G ,27400,9.77E-05,280576000,ct del
293T,2,21,VSV-G ,27440000,0.1,274400000,ct del
293T,2,21,VSV-G ,5134000,0.025,205360000,ct del
293T,2,21,VSV-G ,1108000,0.00625,177280000,ct del
293T,2,21,VSV-G ,211700,0.0015625,135488000,ct del
293T,2,21,VSV-G ,45220,0.000390625,115763200,ct del
293T,2,21,VSV-G ,29100,9.77E-05,297984000,ct del
293T,1,11.1 A,Fresh 1,over,50,#VALUE!,freeze
293T,1,11.1 A,Fresh 1,428600000,12.5,34288000,freeze
293T,1,11.1 A,Fresh 1,142000000,3.125,45440000,freeze
293T,1,11.1 A,Fresh 1,36660000,0.78125,46924800,freeze
293T,1,11.1 A,Fresh 1,9833000,0.1953125,50344960,freeze
293T,1,11.1 A,Fresh 1,2956000,0.048828125,60538880,freeze
293T,2,11.1 A,Fresh 1,over,50,#VALUE!,freeze
293T,2,11.1 A,Fresh 1,381000000,12.5,30480000,freeze
293T,2,11.1 A,Fresh 1,122100000,3.125,39072000,freeze
293T,2,11.1 A,Fresh 1,36990000,0.78125,47347200,freeze
293T,2,11.1 A,Fresh 1,9331000,0.1953125,47774720,freeze
293T,2,11.1 A,Fresh 1,2851000,0.048828125,58388480,freeze
293T,1,11.1 B,Fresh 2,over,50,#VALUE!,freeze
293T,1,11.1 B,Fresh 2,358800000,12.5,28704000,freeze
293T,1,11.1 B,Fresh 2,98430000,3.125,31497600,freeze
293T,1,11.1 B,Fresh 2,27750000,0.78125,35520000,freeze
293T,1,11.1 B,Fresh 2,8147000,0.1953125,41712640,freeze
293T,1,11.1 B,Fresh 2,2229000,0.048828125,45649920,freeze
293T,2,11.1 B,Fresh 2,over,50,#VALUE!,freeze
293T,2,11.1 B,Fresh 2,345400000,12.5,27632000,freeze
293T,2,11.1 B,Fresh 2,93870000,3.125,30038400,freeze
293T,2,11.1 B,Fresh 2,26820000,0.78125,34329600,freeze
293T,2,11.1 B,Fresh 2,7510000,0.1953125,38451200,freeze
293T,2,11.1 B,Fresh 2,1750000,0.048828125,35840000,freeze
293T,1,11.2 A,-80 Freeze RT thaw 1,25510000,50,510200,freeze
293T,1,11.2 A,-80 Freeze RT thaw 1,8901000,12.5,712080,freeze
293T,1,11.2 A,-80 Freeze RT thaw 1,2580000,3.125,825600,freeze
293T,1,11.2 A,-80 Freeze RT thaw 1,835600,0.78125,1069568,freeze
293T,1,11.2 A,-80 Freeze RT thaw 1,297700,0.1953125,1524224,freeze
293T,1,11.2 A,-80 Freeze RT thaw 1,76760,0.048828125,1572044.8,freeze
293T,2,11.2 A,-80 Freeze RT thaw 1,27830000,50,556600,freeze
293T,2,11.2 A,-80 Freeze RT thaw 1,8276000,12.5,662080,freeze
293T,2,11.2 A,-80 Freeze RT thaw 1,2304000,3.125,737280,freeze
293T,2,11.2 A,-80 Freeze RT thaw 1,831300,0.78125,1064064,freeze
293T,2,11.2 A,-80 Freeze RT thaw 1,235000,0.1953125,1203200,freeze
293T,2,11.2 A,-80 Freeze RT thaw 1,88390,0.048828125,1810227.2,freeze
293T,1,11.2 B,-80 Freeze RT thaw 2,over,50,#VALUE!,freeze
293T,1,11.2 B,-80 Freeze RT thaw 2,208900000,12.5,16712000,freeze
293T,1,11.2 B,-80 Freeze RT thaw 2,61470000,3.125,19670400,freeze
293T,1,11.2 B,-80 Freeze RT thaw 2,18800000,0.78125,24064000,freeze
293T,1,11.2 B,-80 Freeze RT thaw 2,5653000,0.1953125,28943360,freeze
293T,1,11.2 B,-80 Freeze RT thaw 2,1627000,0.048828125,33320960,freeze
293T,2,11.2 B,-80 Freeze RT thaw 2,over,50,#VALUE!,freeze
293T,2,11.2 B,-80 Freeze RT thaw 2,232200000,12.5,18576000,freeze
293T,2,11.2 B,-80 Freeze RT thaw 2,66020000,3.125,21126400,freeze
293T,2,11.2 B,-80 Freeze RT thaw 2,21690000,0.78125,27763200,freeze
293T,2,11.2 B,-80 Freeze RT thaw 2,5679000,0.1953125,29076480,freeze
293T,2,11.2 B,-80 Freeze RT thaw 2,1554000,0.048828125,31825920,freeze
293T,1,11.3 A,-80 Freeze 37 thaw 1,2454000,50,49080,freeze
293T,1,11.3 A,-80 Freeze 37 thaw 1,1218000,12.5,97440,freeze
293T,1,11.3 A,-80 Freeze 37 thaw 1,483000,3.125,154560,freeze
293T,1,11.3 A,-80 Freeze 37 thaw 1,151800,0.78125,194304,freeze
293T,1,11.3 A,-80 Freeze 37 thaw 1,52220,0.1953125,267366.4,freeze
293T,1,11.3 A,-80 Freeze 37 thaw 1,18570,0.048828125,380313.6,freeze
293T,2,11.3 A,-80 Freeze 37 thaw 1,549600,50,10992,freeze
293T,2,11.3 A,-80 Freeze 37 thaw 1,247100,12.5,19768,freeze
293T,2,11.3 A,-80 Freeze 37 thaw 1,58870,3.125,18838.4,freeze
293T,2,11.3 A,-80 Freeze 37 thaw 1,47710,0.78125,61068.8,freeze
293T,2,11.3 A,-80 Freeze 37 thaw 1,9591,0.1953125,49105.92,freeze
293T,2,11.3 A,-80 Freeze 37 thaw 1,4644,0.048828125,95109.12,freeze
293T,1,11.3 B,-80 Freeze 37 thaw 2,524900,50,10498,freeze
293T,1,11.3 B,-80 Freeze 37 thaw 2,317800,12.5,25424,freeze
293T,1,11.3 B,-80 Freeze 37 thaw 2,92960,3.125,29747.2,freeze
293T,1,11.3 B,-80 Freeze 37 thaw 2,27310,0.78125,34956.8,freeze
293T,1,11.3 B,-80 Freeze 37 thaw 2,12680,0.1953125,64921.6,freeze
293T,1,11.3 B,-80 Freeze 37 thaw 2,5074,0.048828125,103915.52,freeze
293T,2,11.3 B,-80 Freeze 37 thaw 2,2767000,50,55340,freeze
293T,2,11.3 B,-80 Freeze 37 thaw 2,1242000,12.5,99360,freeze
293T,2,11.3 B,-80 Freeze 37 thaw 2,484300,3.125,154976,freeze
293T,2,11.3 B,-80 Freeze 37 thaw 2,181600,0.78125,232448,freeze
293T,2,11.3 B,-80 Freeze 37 thaw 2,59760,0.1953125,305971.2,freeze
293T,2,11.3 B,-80 Freeze 37 thaw 2,22000,0.048828125,450560,freeze
293T,1,11.4 A,Flash Freeze RT thaw 1,over,50,#VALUE!,freeze
293T,1,11.4 A,Flash Freeze RT thaw 1,253800000,12.5,20304000,freeze
293T,1,11.4 A,Flash Freeze RT thaw 1,76030000,3.125,24329600,freeze
293T,1,11.4 A,Flash Freeze RT thaw 1,21020000,0.78125,26905600,freeze
293T,1,11.4 A,Flash Freeze RT thaw 1,6126000,0.1953125,31365120,freeze
293T,1,11.4 A,Flash Freeze RT thaw 1,1574000,0.048828125,32235520,freeze
293T,2,11.4 A,Flash Freeze RT thaw 1,over,50,#VALUE!,freeze
293T,2,11.4 A,Flash Freeze RT thaw 1,263500000,12.5,21080000,freeze
293T,2,11.4 A,Flash Freeze RT thaw 1,67860000,3.125,21715200,freeze
293T,2,11.4 A,Flash Freeze RT thaw 1,21130000,0.78125,27046400,freeze
293T,2,11.4 A,Flash Freeze RT thaw 1,5814000,0.1953125,29767680,freeze
293T,2,11.4 A,Flash Freeze RT thaw 1,1593000,0.048828125,32624640,freeze
293T,1,11.4 B,Flash Freeze RT thaw 2,over,50,#VALUE!,freeze
293T,1,11.4 B,Flash Freeze RT thaw 2,257600000,12.5,20608000,freeze
293T,1,11.4 B,Flash Freeze RT thaw 2,73680000,3.125,23577600,freeze
293T,1,11.4 B,Flash Freeze RT thaw 2,21430000,0.78125,27430400,freeze
293T,1,11.4 B,Flash Freeze RT thaw 2,5603000,0.1953125,28687360,freeze
293T,1,11.4 B,Flash Freeze RT thaw 2,1484000,0.048828125,30392320,freeze
293T,2,11.4 B,Flash Freeze RT thaw 2,over,50,#VALUE!,freeze
293T,2,11.4 B,Flash Freeze RT thaw 2,272200000,12.5,21776000,freeze
293T,2,11.4 B,Flash Freeze RT thaw 2,79280000,3.125,25369600,freeze
293T,2,11.4 B,Flash Freeze RT thaw 2,21580000,0.78125,27622400,freeze
293T,2,11.4 B,Flash Freeze RT thaw 2,5798000,0.1953125,29685760,freeze
293T,2,11.4 B,Flash Freeze RT thaw 2,1521000,0.048828125,31150080,freeze
293T,1,11.5 A,Flash Freeze 37 thaw 1,over,50,#VALUE!,freeze
293T,1,11.5 A,Flash Freeze 37 thaw 1,277100000,12.5,22168000,freeze
293T,1,11.5 A,Flash Freeze 37 thaw 1,81530000,3.125,26089600,freeze
293T,1,11.5 A,Flash Freeze 37 thaw 1,22520000,0.78125,28825600,freeze
293T,1,11.5 A,Flash Freeze 37 thaw 1,6667000,0.1953125,34135040,freeze
293T,1,11.5 A,Flash Freeze 37 thaw 1,2045000,0.048828125,41881600,freeze
293T,2,11.5 A,Flash Freeze 37 thaw 1,over,50,#VALUE!,freeze
293T,2,11.5 A,Flash Freeze 37 thaw 1,287700000,12.5,23016000,freeze
293T,2,11.5 A,Flash Freeze 37 thaw 1,80070000,3.125,25622400,freeze
293T,2,11.5 A,Flash Freeze 37 thaw 1,22610000,0.78125,28940800,freeze
293T,2,11.5 A,Flash Freeze 37 thaw 1,6967000,0.1953125,35671040,freeze
293T,2,11.5 A,Flash Freeze 37 thaw 1,1779000,0.048828125,36433920,freeze
293T,1,11.5 B,Flash Freeze 37 thaw 2,over,50,#VALUE!,freeze
293T,1,11.5 B,Flash Freeze 37 thaw 2,267100000,12.5,21368000,freeze
293T,1,11.5 B,Flash Freeze 37 thaw 2,82400000,3.125,26368000,freeze
293T,1,11.5 B,Flash Freeze 37 thaw 2,22750000,0.78125,29120000,freeze
293T,1,11.5 B,Flash Freeze 37 thaw 2,6619000,0.1953125,33889280,freeze
293T,1,11.5 B,Flash Freeze 37 thaw 2,1633000,0.048828125,33443840,freeze
293T,2,11.5 B,Flash Freeze 37 thaw 2,over,50,#VALUE!,freeze
293T,2,11.5 B,Flash Freeze 37 thaw 2,302400000,12.5,24192000,freeze
293T,2,11.5 B,Flash Freeze 37 thaw 2,89250000,3.125,28560000,freeze
293T,2,11.5 B,Flash Freeze 37 thaw 2,24700000,0.78125,31616000,freeze
293T,2,11.5 B,Flash Freeze 37 thaw 2,7002000,0.1953125,35850240,freeze
293T,2,11.5 B,Flash Freeze 37 thaw 2,1616000,0.048828125,33095680,freeze
293T-TIM1,1,1,bald,86890,50,1737.8,ct del
293T-TIM1,1,1,bald,51950,12.5,4156,ct del
293T-TIM1,1,1,bald,2959,3.125,946.88,ct del
293T-TIM1,1,1,bald,295.7,0.78125,378.496,ct del
293T-TIM1,1,1,bald,55.07,0.1953125,281.9584,ct del
293T-TIM1,1,1,bald,112.9,0.048828125,2312.192,ct del
293T-TIM1,2,1,bald,111000,50,2220,ct del
293T-TIM1,2,1,bald,25320,12.5,2025.6,ct del
293T-TIM1,2,1,bald,3751,3.125,1200.32,ct del
293T-TIM1,2,1,bald,199.9,0.78125,255.872,ct del
293T-TIM1,2,1,bald,46.53,0.1953125,238.2336,ct del
293T-TIM1,2,1,bald,1148,0.048828125,23511.04,ct del
293T-TIM1,1,2,F only,394400000,50,7888000,ct del
293T-TIM1,1,2,F only,130000000,12.5,10400000,ct del
293T-TIM1,1,2,F only,39150000,3.125,12528000,ct del
293T-TIM1,1,2,F only,9796000,0.78125,12538880,ct del
293T-TIM1,1,2,F only,2427000,0.1953125,12426240,ct del
293T-TIM1,1,2,F only,743800,0.048828125,15233024,ct del
293T-TIM1,2,2,F only,407100000,50,8142000,ct del
293T-TIM1,2,2,F only,127700000,12.5,10216000,ct del
293T-TIM1,2,2,F only,35600000,3.125,11392000,ct del
293T-TIM1,2,2,F only,10510000,0.78125,13452800,ct del
293T-TIM1,2,2,F only,2162000,0.1953125,11069440,ct del
293T-TIM1,2,2,F only,666900,0.048828125,13658112,ct del
293T-TIM1,1,3,full G,427900000,50,8558000,ct del
293T-TIM1,1,3,full G,144500000,12.5,11560000,ct del
293T-TIM1,1,3,full G,45160000,3.125,14451200,ct del
293T-TIM1,1,3,full G,12030000,0.78125,15398400,ct del
293T-TIM1,1,3,full G,3028000,0.1953125,15503360,ct del
293T-TIM1,1,3,full G,962000,0.048828125,19701760,ct del
293T-TIM1,2,3,full G,419800000,50,8396000,ct del
293T-TIM1,2,3,full G,142800000,12.5,11424000,ct del
293T-TIM1,2,3,full G,43590000,3.125,13948800,ct del
293T-TIM1,2,3,full G,12510000,0.78125,16012800,ct del
293T-TIM1,2,3,full G,2959000,0.1953125,15150080,ct del
293T-TIM1,2,3,full G,651500,0.048828125,13342720,ct del
293T-TIM1,1,4,G -3,345600000,50,6912000,ct del
293T-TIM1,1,4,G -3,124300000,12.5,9944000,ct del
293T-TIM1,1,4,G -3,38140000,3.125,12204800,ct del
293T-TIM1,1,4,G -3,9402000,0.78125,12034560,ct del
293T-TIM1,1,4,G -3,2996000,0.1953125,15339520,ct del
293T-TIM1,1,4,G -3,619400,0.048828125,12685312,ct del
293T-TIM1,2,4,G -3,362100000,50,7242000,ct del
293T-TIM1,2,4,G -3,119900000,12.5,9592000,ct del
293T-TIM1,2,4,G -3,37370000,3.125,11958400,ct del
293T-TIM1,2,4,G -3,9921000,0.78125,12698880,ct del
293T-TIM1,2,4,G -3,2462000,0.1953125,12605440,ct del
293T-TIM1,2,4,G -3,719500,0.048828125,14735360,ct del
293T-TIM1,1,5,G -7,364500000,50,7290000,ct del
293T-TIM1,1,5,G -7,125400000,12.5,10032000,ct del
293T-TIM1,1,5,G -7,35250000,3.125,11280000,ct del
293T-TIM1,1,5,G -7,8535000,0.78125,10924800,ct del
293T-TIM1,1,5,G -7,2094000,0.1953125,10721280,ct del
293T-TIM1,1,5,G -7,480100,0.048828125,9832448,ct del
293T-TIM1,2,5,G -7,396200000,50,7924000,ct del
293T-TIM1,2,5,G -7,136500000,12.5,10920000,ct del
293T-TIM1,2,5,G -7,35980000,3.125,11513600,ct del
293T-TIM1,2,5,G -7,8610000,0.78125,11020800,ct del
293T-TIM1,2,5,G -7,2172000,0.1953125,11120640,ct del
293T-TIM1,2,5,G -7,562400,0.048828125,11517952,ct del
293T-TIM1,1,6,G -11,over,50,#VALUE!,ct del
293T-TIM1,1,6,G -11,211900000,12.5,16952000,ct del
293T-TIM1,1,6,G -11,54380000,3.125,17401600,ct del
293T-TIM1,1,6,G -11,14800000,0.78125,18944000,ct del
293T-TIM1,1,6,G -11,3839000,0.1953125,19655680,ct del
293T-TIM1,1,6,G -11,770700,0.048828125,15783936,ct del
293T-TIM1,2,6,G -11,503000000,50,10060000,ct del
293T-TIM1,2,6,G -11,196500000,12.5,15720000,ct del
293T-TIM1,2,6,G -11,52840000,3.125,16908800,ct del
293T-TIM1,2,6,G -11,14090000,0.78125,18035200,ct del
293T-TIM1,2,6,G -11,4189000,0.1953125,21447680,ct del
293T-TIM1,2,6,G -11,1193000,0.048828125,24432640,ct del
293T-TIM1,1,7,G -15,over,50,#VALUE!,ct del
293T-TIM1,1,7,G -15,257500000,12.5,20600000,ct del
