virus,replicate,TU/mL,target cell,virus_order
No RSV,1,5857,293T-TIM1,1
No RSV,2,5199,293T-TIM1,1
RSV Long,1,654711,293T-TIM1,2
RSV Long,2,635130,293T-TIM1,2
RSV A2,1,186092,293T-TIM1,3
RSV A2,2,169543,293T-TIM1,3
RSV B1,1,343078,293T-TIM1,4
RSV B1,2,363719,293T-TIM1,4
No RSV,1,841,293T,1
No RSV,2,972,293T,1
RSV Long,1,173162,293T,2
RSV Long,2,176191,293T,2
RSV A2,1,34519,293T,3
RSV A2,2,33651,293T,3
RSV B1,1,81270,293T,4
RSV B1,2,85354,293T,4
VSV-G,1,38084151,293T-TIM1,5
VSV-G,2,36010190,293T-TIM1,5
VSV-G,1,4380017,293T,5
VSV-G,2,4224447,293T,5
