serum,virus,replicate,concentration,fraction infectivity
Pooled Sera,A549 RSV Long,1,0.01,0.000354858
Pooled Sera,A549 RSV Long,1,0.0025,0.024589546
Pooled Sera,A549 RSV Long,1,0.000625,0.430528959
Pooled Sera,A549 RSV Long,1,0.00015625,0.76659865
Pooled Sera,A549 RSV Long,1,3.90625E-05,1.008632868
Pooled Sera,A549 RSV Long,1,9.76563E-06,0.985559567
Pooled Sera,A549 RSV Long,1,2.44141E-06,1.018992309
Pooled Sera,A549 RSV Long,1,6.10352E-07,1.002040496
Pooled Sera,A549 RSV Long,1,1.52588E-07,1.012399937
Pooled Sera,A549 RSV Long,2,0.01,0.000199655
Pooled Sera,A549 RSV Long,2,0.0025,0.021429917
Pooled Sera,A549 RSV Long,2,0.000625,0.423371527
Pooled Sera,A549 RSV Long,2,0.00015625,0.771778371
Pooled Sera,A549 RSV Long,2,3.90625E-05,1.001569612
Pooled Sera,A549 RSV Long,2,9.76563E-06,0.985559567
Pooled Sera,A549 RSV Long,2,2.44141E-06,1.003924031
Pooled Sera,A549 RSV Long,2,6.10352E-07,0.987913985
Pooled Sera,A549 RSV Long,2,1.52588E-07,1.019934076
Pooled Sera,TIM1 RSV Long,1,0.01,0.006837173
Pooled Sera,TIM1 RSV Long,1,0.0025,0.042788336
Pooled Sera,TIM1 RSV Long,1,0.000625,0.410409588
Pooled Sera,TIM1 RSV Long,1,0.00015625,0.939327185
Pooled Sera,TIM1 RSV Long,1,3.90625E-05,1.001381473
Pooled Sera,TIM1 RSV Long,1,9.76563E-06,0.938207072
Pooled Sera,TIM1 RSV Long,1,2.44141E-06,0.986371952
Pooled Sera,TIM1 RSV Long,1,6.10352E-07,0.911324348
Pooled Sera,TIM1 RSV Long,1,1.52588E-07,0.993092633
Pooled Sera,TIM1 RSV Long,2,0.01,0.007094799
Pooled Sera,TIM1 RSV Long,2,0.0025,0.01707725
Pooled Sera,TIM1 RSV Long,2,0.000625,0.517492439
Pooled Sera,TIM1 RSV Long,2,0.00015625,0.844565583
Pooled Sera,TIM1 RSV Long,2,3.90625E-05,1.222715902
Pooled Sera,TIM1 RSV Long,2,9.76563E-06,1.091214576
Pooled Sera,TIM1 RSV Long,2,2.44141E-06,1.116977187
Pooled Sera,TIM1 RSV Long,2,6.10352E-07,0.946719934
Pooled Sera,TIM1 RSV Long,2,1.52588E-07,0.859799126
