date,BEI or IntRef,serum,virus,replicate,concentration,fraction infectivity
24.10.25,IntRef,NIBSC 16/284,RSV B1 Replicate 1,1,0.01,0.000201876
24.10.25,IntRef,NIBSC 16/284,RSV B1 Replicate 1,1,0.0025,0.000234176
24.10.25,IntRef,NIBSC 16/284,RSV B1 Replicate 1,1,0.000625,0.001142741
24.10.25,IntRef,NIBSC 16/284,RSV B1 Replicate 1,1,0.00015625,0.214967374
24.10.25,IntRef,NIBSC 16/284,RSV B1 Replicate 1,1,3.90625E-05,0.798694943
24.10.25,IntRef,NIBSC 16/284,RSV B1 Replicate 1,1,9.76563E-06,0.891557912
24.10.25,IntRef,NIBSC 16/284,RSV B1 Replicate 1,1,2.44141E-06,0.990415987
24.10.25,IntRef,NIBSC 16/284,RSV B1 Replicate 1,1,6.10352E-07,0.883849918
24.10.25,IntRef,NIBSC 16/284,RSV B1 Replicate 1,1,1.52588E-07,1.099673736
24.10.25,IntRef,NIBSC 16/284,RSV B1 Replicate 1,2,0.01,0.000108401
24.10.25,IntRef,NIBSC 16/284,RSV B1 Replicate 1,2,0.0025,0.00021668
24.10.25,IntRef,NIBSC 16/284,RSV B1 Replicate 1,2,0.000625,0.011522838
24.10.25,IntRef,NIBSC 16/284,RSV B1 Replicate 1,2,0.00015625,0.172512235
24.10.25,IntRef,NIBSC 16/284,RSV B1 Replicate 1,2,3.90625E-05,0.732748777
24.10.25,IntRef,NIBSC 16/284,RSV B1 Replicate 1,2,9.76563E-06,0.985522023
24.10.25,IntRef,NIBSC 16/284,RSV B1 Replicate 1,2,2.44141E-06,1.021492659
24.10.25,IntRef,NIBSC 16/284,RSV B1 Replicate 1,2,6.10352E-07,0.906117455
24.10.25,IntRef,NIBSC 16/284,RSV B1 Replicate 1,2,1.52588E-07,0.973287113
24.10.25,IntRef,NIBSC 16/284,RSV B1 Replicate 1,3,0.01,0.000185726
24.10.25,IntRef,NIBSC 16/284,RSV B1 Replicate 1,3,0.0025,0.000321656
24.10.25,IntRef,NIBSC 16/284,RSV B1 Replicate 1,3,0.000625,0.000852406
24.10.25,IntRef,NIBSC 16/284,RSV B1 Replicate 1,3,0.00015625,0.188050571
24.10.25,IntRef,NIBSC 16/284,RSV B1 Replicate 1,3,3.90625E-05,0.614437194
24.10.25,IntRef,NIBSC 16/284,RSV B1 Replicate 1,3,9.76563E-06,0.777650897
24.10.25,IntRef,NIBSC 16/284,RSV B1 Replicate 1,3,2.44141E-06,0.939885808
24.10.25,IntRef,NIBSC 16/284,RSV B1 Replicate 1,3,6.10352E-07,0.783768352
24.10.25,IntRef,NIBSC 16/284,RSV B1 Replicate 1,3,1.52588E-07,0.721615008
24.10.25,IntRef,NR-4021 ,RSV B1 Replicate 1,1,0.01,0.000149948
24.10.25,IntRef,NR-4021 ,RSV B1 Replicate 1,1,0.0025,0.006038582
24.10.25,IntRef,NR-4021 ,RSV B1 Replicate 1,1,0.000625,0.014316997
24.10.25,IntRef,NR-4021 ,RSV B1 Replicate 1,1,0.00015625,0.048154327
24.10.25,IntRef,NR-4021 ,RSV B1 Replicate 1,1,3.90625E-05,0.495099062
24.10.25,IntRef,NR-4021 ,RSV B1 Replicate 1,1,9.76563E-06,0.722836288
24.10.25,IntRef,NR-4021 ,RSV B1 Replicate 1,1,2.44141E-06,0.997497393
24.10.25,IntRef,NR-4021 ,RSV B1 Replicate 1,1,6.10352E-07,1.095933264
24.10.25,IntRef,NR-4021 ,RSV B1 Replicate 1,1,1.52588E-07,1.019395203
24.10.25,IntRef,NR-4021 ,RSV B1 Replicate 1,2,0.01,0.000230553
24.10.25,IntRef,NR-4021 ,RSV B1 Replicate 1,2,0.0025,0.000171429
24.10.25,IntRef,NR-4021 ,RSV B1 Replicate 1,2,0.000625,0.000571741
24.10.25,IntRef,NR-4021 ,RSV B1 Replicate 1,2,0.00015625,0.039760167
24.10.25,IntRef,NR-4021 ,RSV B1 Replicate 1,2,3.90625E-05,0.354118874
24.10.25,IntRef,NR-4021 ,RSV B1 Replicate 1,2,9.76563E-06,0.72544317
24.10.25,IntRef,NR-4021 ,RSV B1 Replicate 1,2,2.44141E-06,1.042127216
24.10.25,IntRef,NR-4021 ,RSV B1 Replicate 1,2,6.10352E-07,0.975286757
24.10.25,IntRef,NR-4021 ,RSV B1 Replicate 1,2,1.52588E-07,0.920229406
24.10.25,IntRef,NR-4021 ,RSV B1 Replicate 1,3,0.01,0.004126173
24.10.25,IntRef,NR-4021 ,RSV B1 Replicate 1,3,0.0025,0.000223566
24.10.25,IntRef,NR-4021 ,RSV B1 Replicate 1,3,0.000625,0.007621481
24.10.25,IntRef,NR-4021 ,RSV B1 Replicate 1,3,0.00015625,0.037632951
24.10.25,IntRef,NR-4021 ,RSV B1 Replicate 1,3,3.90625E-05,0.289885297
24.10.25,IntRef,NR-4021 ,RSV B1 Replicate 1,3,9.76563E-06,0.876225235
24.10.25,IntRef,NR-4021 ,RSV B1 Replicate 1,3,2.44141E-06,1.007716371
24.10.25,IntRef,NR-4021 ,RSV B1 Replicate 1,3,6.10352E-07,0.994160584
24.10.25,IntRef,NR-4021 ,RSV B1 Replicate 1,3,1.52588E-07,1.109489051
24.10.25,IntRef,NIBSC 16/284,RSV B1 Replicate 2,1,0.01,0.000151782
24.10.25,IntRef,NIBSC 16/284,RSV B1 Replicate 2,1,0.0025,0.00147926
24.10.25,IntRef,NIBSC 16/284,RSV B1 Replicate 2,1,0.000625,0.001483934
