Protein Measured,Pseudovirus,Replicate,Area under the curve,AUC normalized to p24,,,
G,RSV Long F + G 31AACTdel,1,28890,2.57,,,
G,RSV Long F + G fullCT,1,6904,0.87,,,
F,RSV Long F + G 31AACTdel,1,4373,0.39,,,
F,RSV Long F + G fullCT,1,1246,0.16,,,
G,RSV Long F + G 31AACTdel,2,17485,1.67,,,
G,RSV Long F + G fullCT,2,6189,0.66,,,
F,RSV Long F + G 31AACTdel,2,8096,0.77,,,
F,RSV Long F + G fullCT,2,4557,0.49,,,
