serum,virus,replicate,concentration,fraction infectivity
serum_1,A2,1,0.025,0.0002132
serum_1,A2,1,0.008333,0.0002375
serum_1,A2,1,0.002778,0.000272
serum_1,A2,1,0.0009259,0.0003499
serum_1,A2,1,0.0003086,0.007094
serum_1,A2,1,0.0001029,0.01746
serum_1,A2,1,3.429e-05,0.3212
serum_1,A2,1,1.143e-05,0.6001
serum_1,A2,1,3.81e-06,0.7264
serum_1,A2,2,0.025,0.0001239
serum_1,A2,2,0.008333,0.0001766
serum_1,A2,2,0.002778,0.0002018
serum_1,A2,2,0.0009259,0.0003029
serum_1,A2,2,0.0003086,0.0005806
serum_1,A2,2,0.0001029,0.04051
serum_1,A2,2,3.429e-05,0.1828
serum_1,A2,2,1.143e-05,0.4615
serum_1,A2,2,3.81e-06,0.804
serum_2,A2,1,0.025,0.0002259
serum_2,A2,1,0.008333,0.0002688
serum_2,A2,1,0.002778,0.0003616
serum_2,A2,1,0.0009259,0.01227
serum_2,A2,1,0.0003086,0.07551
serum_2,A2,1,0.0001029,0.2782
serum_2,A2,1,3.429e-05,0.4452
serum_2,A2,1,1.143e-05,0.7918
serum_2,A2,1,3.81e-06,0.7845
serum_2,A2,2,0.025,0.0004573
serum_2,A2,2,0.008333,0.0002433
serum_2,A2,2,0.002778,0.0003478
serum_2,A2,2,0.0009259,0.0006669
serum_2,A2,2,0.0003086,0.05088
serum_2,A2,2,0.0001029,0.1883
serum_2,A2,2,3.429e-05,0.4516
serum_2,A2,2,1.143e-05,0.7616
serum_2,A2,2,3.81e-06,0.8048
serum_3,A2,1,0.025,0.0002067
serum_3,A2,1,0.008333,0.0002479
serum_3,A2,1,0.002778,0.0007857
serum_3,A2,1,0.0009259,0.09799
serum_3,A2,1,0.0003086,0.4757
serum_3,A2,1,0.0001029,0.6965
serum_3,A2,1,3.429e-05,0.8185
serum_3,A2,1,1.143e-05,0.8827
serum_3,A2,1,3.81e-06,0.955
serum_3,A2,2,0.025,0.000268
serum_3,A2,2,0.008333,0.01708
serum_3,A2,2,0.002778,0.0006297
serum_3,A2,2,0.0009259,0.03985
serum_3,A2,2,0.0003086,0.5433
serum_3,A2,2,0.0001029,0.6666
serum_3,A2,2,3.429e-05,0.7396
serum_3,A2,2,1.143e-05,0.9847
serum_3,A2,2,3.81e-06,0.9743
serum_4,A2,1,0.025,0.0002294
serum_4,A2,1,0.008333,0.0005253
serum_4,A2,1,0.002778,0.0008782
serum_4,A2,1,0.0009259,0.002586
serum_4,A2,1,0.0003086,0.01788
serum_4,A2,1,0.0001029,0.2032
serum_4,A2,1,3.429e-05,0.4841
serum_4,A2,1,1.143e-05,0.6412
serum_4,A2,1,3.81e-06,0.8443
serum_4,A2,2,0.025,0.0001794
serum_4,A2,2,0.008333,0.000355
serum_4,A2,2,0.002778,0.0003847
serum_4,A2,2,0.0009259,0.01331
serum_4,A2,2,0.0003086,0.005095
serum_4,A2,2,0.0001029,0.1378
serum_4,A2,2,3.429e-05,0.421
serum_4,A2,2,1.143e-05,0.7122
serum_4,A2,2,3.81e-06,0.8394
serum_5,A2,1,0.025,0.0004272
serum_5,A2,1,0.008333,0.008297
serum_5,A2,1,0.002778,0.1827
serum_5,A2,1,0.0009259,0.5725
serum_5,A2,1,0.0003086,0.8402
serum_5,A2,1,0.0001029,0.9267
serum_5,A2,1,3.429e-05,0.9065
serum_5,A2,1,1.143e-05,0.8734
serum_5,A2,1,3.81e-06,1.166
serum_5,A2,2,0.025,0.0003535
serum_5,A2,2,0.008333,0.05341
serum_5,A2,2,0.002778,0.1407
serum_5,A2,2,0.0009259,0.4786
serum_5,A2,2,0.0003086,0.7935
serum_5,A2,2,0.0001029,0.9404
serum_5,A2,2,3.429e-05,0.8685
serum_5,A2,2,1.143e-05,1.094
serum_5,A2,2,3.81e-06,0.812
serum_6,A2,1,0.025,0.0002046
serum_6,A2,1,0.008333,0.0003405
serum_6,A2,1,0.002778,0.0005532
serum_6,A2,1,0.0009259,0.05019
serum_6,A2,1,0.0003086,0.1628
serum_6,A2,1,0.0001029,0.3943
serum_6,A2,1,3.429e-05,0.701
serum_6,A2,1,1.143e-05,0.7977
serum_6,A2,1,3.81e-06,1.003
serum_6,A2,2,0.025,0.0002615
serum_6,A2,2,0.008333,0.0004988
serum_6,A2,2,0.002778,0.001298
serum_6,A2,2,0.0009259,0.04889
serum_6,A2,2,0.0003086,0.2388
serum_6,A2,2,0.0001029,0.4129
serum_6,A2,2,3.429e-05,0.6711
serum_6,A2,2,1.143e-05,0.921
serum_6,A2,2,3.81e-06,0.9146
serum_7,A2,1,0.025,0.0002014
serum_7,A2,1,0.008333,0.01061
serum_7,A2,1,0.002778,0.05534
serum_7,A2,1,0.0009259,0.169
serum_7,A2,1,0.0003086,0.4701
serum_7,A2,1,0.0001029,0.9204
serum_7,A2,1,3.429e-05,0.881
serum_7,A2,1,1.143e-05,1.01
serum_7,A2,1,3.81e-06,1.142
serum_7,A2,2,0.025,0.0001886
serum_7,A2,2,0.008333,0.000515
serum_7,A2,2,0.002778,0.07212
serum_7,A2,2,0.0009259,0.1815
serum_7,A2,2,0.0003086,0.6542
serum_7,A2,2,0.0001029,0.8448
serum_7,A2,2,3.429e-05,1.111
serum_7,A2,2,1.143e-05,1.01
serum_7,A2,2,3.81e-06,0.968
serum_8,A2,1,0.025,0.000366
serum_8,A2,1,0.008333,0.000936
serum_8,A2,1,0.002778,0.03184
serum_8,A2,1,0.0009259,0.1665
serum_8,A2,1,0.0003086,0.5874
serum_8,A2,1,0.0001029,0.8071
serum_8,A2,1,3.429e-05,1.024
serum_8,A2,1,1.143e-05,0.8424
serum_8,A2,1,3.81e-06,0.9918
serum_8,A2,2,0.025,0.0002345
serum_8,A2,2,0.008333,0.0005182
serum_8,A2,2,0.002778,0.00703
serum_8,A2,2,0.0009259,0.1895
serum_8,A2,2,0.0003086,0.484
serum_8,A2,2,0.0001029,0.8325
serum_8,A2,2,3.429e-05,0.9762
serum_8,A2,2,1.143e-05,0.8629
serum_8,A2,2,3.81e-06,0.9943
serum_9,A2,1,0.025,0.0001759
serum_9,A2,1,0.008333,0.0001908
serum_9,A2,1,0.002778,0.0003644
serum_9,A2,1,0.0009259,0.0004899
serum_9,A2,1,0.0003086,0.02713
serum_9,A2,1,0.0001029,0.119
serum_9,A2,1,3.429e-05,0.4635
serum_9,A2,1,1.143e-05,0.6158
serum_9,A2,1,3.81e-06,1.02
serum_9,A2,2,0.025,0.0002512
serum_9,A2,2,0.008333,0.0003417
serum_9,A2,2,0.002778,0.0005966
serum_9,A2,2,0.0009259,0.001372
serum_9,A2,2,0.0003086,0.0138
serum_9,A2,2,0.0001029,0.1542
serum_9,A2,2,3.429e-05,0.3822
serum_9,A2,2,1.143e-05,0.6783
serum_9,A2,2,3.81e-06,1.008
serum_10,A2,1,0.025,0.0002509
serum_10,A2,1,0.008333,0.00029
serum_10,A2,1,0.002778,0.005516
serum_10,A2,1,0.0009259,0.04776
serum_10,A2,1,0.0003086,0.2629
serum_10,A2,1,0.0001029,0.5272
serum_10,A2,1,3.429e-05,0.7907
serum_10,A2,1,1.143e-05,0.8348
serum_10,A2,1,3.81e-06,1.01
serum_10,A2,2,0.025,0.0001806
serum_10,A2,2,0.008333,0.0002568
serum_10,A2,2,0.002778,0.002187
serum_10,A2,2,0.0009259,0.06165
serum_10,A2,2,0.0003086,0.2024
serum_10,A2,2,0.0001029,0.6442
serum_10,A2,2,3.429e-05,0.7302
serum_10,A2,2,1.143e-05,0.6775
serum_10,A2,2,3.81e-06,1.014
serum_11,A2,1,0.025,0.0002817
serum_11,A2,1,0.008333,0.0005344
serum_11,A2,1,0.002778,0.04042
serum_11,A2,1,0.0009259,0.1096
serum_11,A2,1,0.0003086,0.2768
serum_11,A2,1,0.0001029,0.6116
serum_11,A2,1,3.429e-05,0.6518
serum_11,A2,1,1.143e-05,0.9355
serum_11,A2,1,3.81e-06,0.8994
serum_11,A2,2,0.025,0.0002375
serum_11,A2,2,0.008333,0.0002864
serum_11,A2,2,0.002778,0.005447
serum_11,A2,2,0.0009259,0.1861
serum_11,A2,2,0.0003086,0.3675
serum_11,A2,2,0.0001029,0.615
serum_11,A2,2,3.429e-05,0.751
serum_11,A2,2,1.143e-05,0.9274
serum_11,A2,2,3.81e-06,1.143
serum_12,A2,1,0.025,0.0002706
serum_12,A2,1,0.008333,0.007466
