serum,virus,replicate,concentration,fraction infectivity
Nirsevimab,A2020 F + A2020 G,1,1000,0.021661122
Nirsevimab,A2020 F + A2020 G,1,285.714,0.034247696
Nirsevimab,A2020 F + A2020 G,1,81.633,0.017745542
Nirsevimab,A2020 F + A2020 G,1,23.324,0.071069422
Nirsevimab,A2020 F + A2020 G,1,6.664,0.516442166
Nirsevimab,A2020 F + A2020 G,1,1.904,1.065823199
Nirsevimab,A2020 F + A2020 G,1,0.544,0.707094945
Nirsevimab,A2020 F + A2020 G,1,0.155,0.83056116
Nirsevimab,A2020 F + A2020 G,1,0.044,1.082510771
Nirsevimab,A2020 F + A2020 G,2,1000,0.010206686
Nirsevimab,A2020 F + A2020 G,2,285.714,0.020777663
Nirsevimab,A2020 F + A2020 G,2,81.633,0.014146262
Nirsevimab,A2020 F + A2020 G,2,23.324,0.054185527
Nirsevimab,A2020 F + A2020 G,2,6.664,0.755412554
Nirsevimab,A2020 F + A2020 G,2,1.904,0.772645471
Nirsevimab,A2020 F + A2020 G,2,0.544,1.203032121
Nirsevimab,A2020 F + A2020 G,2,0.155,1.062332988
Nirsevimab,A2020 F + A2020 G,2,0.044,1.042155205
Nirsevimab,A2020F + Long G,1,1000,0.003839299
Nirsevimab,A2020F + Long G,1,285.714,0.02073958
Nirsevimab,A2020F + Long G,1,81.633,0.047791207
Nirsevimab,A2020F + Long G,1,23.324,0.134750122
Nirsevimab,A2020F + Long G,1,6.664,0.317380353
Nirsevimab,A2020F + Long G,1,1.904,0.892068666
Nirsevimab,A2020F + Long G,1,0.544,1.019071608
Nirsevimab,A2020F + Long G,1,0.155,0.772558898
Nirsevimab,A2020F + Long G,1,0.044,0.852697754
Nirsevimab,A2020F + Long G,2,1000,0.016688187
Nirsevimab,A2020F + Long G,2,285.714,0.010044663
Nirsevimab,A2020F + Long G,2,81.633,0.004001863
Nirsevimab,A2020F + Long G,2,23.324,0.190123405
Nirsevimab,A2020F + Long G,2,6.664,0.487945304
Nirsevimab,A2020F + Long G,2,1.904,0.918104269
Nirsevimab,A2020F + Long G,2,0.544,0.772812903
Nirsevimab,A2020F + Long G,2,0.155,0.801515568
Nirsevimab,A2020F + Long G,2,0.044,0.774590945
Nirsevimab,VSV,1,1000,0.920739762
Nirsevimab,VSV,1,333.3,0.944682959
Nirsevimab,VSV,1,111.1,0.946664465
Nirsevimab,VSV,1,37,0.958553501
Nirsevimab,VSV,1,12.3,0.948645971
Nirsevimab,VSV,1,4.1,0.952278732
Nirsevimab,VSV,1,1.4,0.893824306
Nirsevimab,VSV,1,0.5,0.944352708
Nirsevimab,VSV,1,0.2,0.980019815
Nirsevimab,VSV,2,1000,0.875495376
Nirsevimab,VSV,2,333.3,0.926519155
Nirsevimab,VSV,2,111.1,0.980680317
Nirsevimab,VSV,2,37,0.961030383
Nirsevimab,VSV,2,12.3,0.899603699
Nirsevimab,VSV,2,4.1,0.985964333
Nirsevimab,VSV,2,1.4,0.935270806
Nirsevimab,VSV,2,0.5,0.962186262
Nirsevimab,VSV,2,0.2,0.962351387
