virus,target cell,replicate ,dilution,RLU,uL,RLU/uL,date
RSV Long,293T-TIM1,1,128,2908000,0.4453125,6530245.614,25.01.14
RSV Long,293T-TIM1,1,512,840700,0.111328125,7551550.877,25.01.14
RSV Long,293T-TIM1,1,2048,238900,0.027832031,8583635.088,25.01.14
RSV Long,293T-TIM1,1,128,3594000,0.4453125,8070736.842,25.01.14
RSV Long,293T-TIM1,1,512,961300,0.111328125,8634835.088,25.01.14
RSV Long,293T-TIM1,1,2048,299400,0.027832031,10757389.47,25.01.14
RSV Long,293T-TIM1,2,128,4198000,0.4453125,9427087.719,25.01.14
RSV Long,293T-TIM1,2,512,894300,0.111328125,8033010.526,25.01.14
RSV Long,293T-TIM1,2,2048,200600,0.027832031,7207522.807,25.01.14
RSV Long,293T-TIM1,2,128,3700000,0.4453125,8308771.93,25.01.14
RSV Long,293T-TIM1,2,512,1163000,0.111328125,10446596.49,25.01.14
RSV Long,293T-TIM1,2,2048,185100,0.027832031,6650610.526,25.01.14
RSV A2,293T-TIM1,1,128,1654000,0.78125,2117120,25.01.14
RSV A2,293T-TIM1,1,512,465400,0.1953125,2382848,25.01.14
RSV A2,293T-TIM1,1,2048,100300,0.048828125,2054144,25.01.14
RSV A2,293T-TIM1,1,128,1971000,0.78125,2522880,25.01.14
RSV A2,293T-TIM1,1,512,448600,0.1953125,2296832,25.01.14
RSV A2,293T-TIM1,1,2048,49180,0.048828125,1007206.4,25.01.14
RSV A2,293T-TIM1,2,128,2171000,0.78125,2778880,25.01.14
RSV A2,293T-TIM1,2,512,474600,0.1953125,2429952,25.01.14
RSV A2,293T-TIM1,2,2048,97070,0.048828125,1987993.6,25.01.14
RSV A2,293T-TIM1,2,128,1702000,0.78125,2178560,25.01.14
RSV A2,293T-TIM1,2,512,564600,0.1953125,2890752,25.01.14
RSV A2,293T-TIM1,2,2048,75620,0.048828125,1548697.6,25.01.14
RSV B1,293T-TIM1,1,32,9275000,2.09375,4429850.746,25.01.14
RSV B1,293T-TIM1,1,128,2229000,0.5234375,4258388.06,25.01.14
RSV B1,293T-TIM1,1,512,467200,0.130859375,3570244.776,25.01.14
RSV B1,293T-TIM1,1,32,11120000,2.09375,5311044.776,25.01.14
RSV B1,293T-TIM1,1,128,1879000,0.5234375,3589731.343,25.01.14
RSV B1,293T-TIM1,1,512,438000,0.130859375,3347104.478,25.01.14
RSV B1,293T-TIM1,2,32,10380000,2.09375,4957611.94,25.01.14
RSV B1,293T-TIM1,2,128,2726000,0.5234375,5207880.597,25.01.14
RSV B1,293T-TIM1,2,512,458900,0.130859375,3506817.91,25.01.14
RSV B1,293T-TIM1,2,32,10400000,2.09375,4967164.179,25.01.14
RSV B1,293T-TIM1,2,128,2704000,0.5234375,5165850.746,25.01.14
RSV B1,293T-TIM1,2,512,619500,0.130859375,4734089.552,25.01.14
RSV A 1982,293T-TIM1,1,8,4744000,12.5,379520,25.01.14
RSV A 1982,293T-TIM1,1,16,3403000,6.25,544480,25.01.14
RSV A 1982,293T-TIM1,1,32,1633000,3.125,522560,25.01.14
RSV A 1982,293T-TIM1,1,8,8281000,12.5,662480,25.01.14
RSV A 1982,293T-TIM1,1,16,4367000,6.25,698720,25.01.14
RSV A 1982,293T-TIM1,1,32,1706000,3.125,545920,25.01.14
RSV A 1982,293T-TIM1,2,8,6205000,12.5,496400,25.01.14
RSV A 1982,293T-TIM1,2,16,3699000,6.25,591840,25.01.14
RSV A 1982,293T-TIM1,2,32,1517000,3.125,485440,25.01.14
RSV A 1982,293T-TIM1,2,8,7108000,12.5,568640,25.01.14
RSV A 1982,293T-TIM1,2,16,3498000,6.25,559680,25.01.14
RSV A 1982,293T-TIM1,2,32,1724000,3.125,551680,25.01.14
RSV A 2020,293T-TIM1,1,8,2.19E+07,12.5,1749600,25.01.14
RSV A 2020,293T-TIM1,1,16,1.03E+07,6.25,1649600,25.01.14
RSV A 2020,293T-TIM1,1,32,5.41E+06,3.125,1732480,25.01.14
RSV A 2020,293T-TIM1,1,8,2.45E+07,12.5,1960800,25.01.14
RSV A 2020,293T-TIM1,1,16,1.24E+07,6.25,1982400,25.01.14
RSV A 2020,293T-TIM1,1,32,5.34E+06,3.125,1709440,25.01.14
RSV A 2020,293T-TIM1,2,8,2.03E+07,12.5,1622400,25.01.14
RSV A 2020,293T-TIM1,2,16,1.19E+07,6.25,1907200,25.01.14
RSV A 2020,293T-TIM1,2,32,5.72E+06,3.125,1828800,25.01.14
RSV A 2020,293T-TIM1,2,8,2.29E+07,12.5,1835200,25.01.14
RSV A 2020,293T-TIM1,2,16,1.24E+07,6.25,1990400,25.01.14
RSV A 2020,293T-TIM1,2,32,5.53E+06,3.125,1768000,25.01.14
RSV B 1982,293T-TIM1,1,8,7.36E+05,12.5,58896,25.01.14
RSV B 1982,293T-TIM1,1,16,3.18E+05,6.25,50816,25.01.14
RSV B 1982,293T-TIM1,1,32,2.08E+05,3.125,66432,25.01.14
RSV B 1982,293T-TIM1,1,8,7.18E+05,12.5,57432,25.01.14
RSV B 1982,293T-TIM1,1,16,3.96E+05,6.25,63424,25.01.14
RSV B 1982,293T-TIM1,1,32,1.48E+05,3.125,47488,25.01.14
RSV B 1982,293T-TIM1,2,8,6.03E+05,12.5,48208,25.01.14
RSV B 1982,293T-TIM1,2,16,2.80E+05,6.25,44720,25.01.14
RSV B 1982,293T-TIM1,2,32,7.72E+04,3.125,24710.4,25.01.14
RSV B 1982,293T-TIM1,2,8,6.43E+05,12.5,51400,25.01.14
RSV B 1982,293T-TIM1,2,16,3.36E+05,6.25,53776,25.01.14
RSV B 1982,293T-TIM1,2,32,2.44E+05,3.125,77952,25.01.14
RSV B 2024,293T-TIM1,1,8,2.75E+06,12.5,219600,25.01.14
RSV B 2024,293T-TIM1,1,16,1.30E+06,6.25,208480,25.01.14
RSV B 2024,293T-TIM1,1,32,6.95E+05,3.125,222528,25.01.14
RSV B 2024,293T-TIM1,1,8,2.89E+06,12.5,230800,25.01.14
RSV B 2024,293T-TIM1,1,16,1.36E+06,6.25,217600,25.01.14
RSV B 2024,293T-TIM1,1,32,6.35E+05,3.125,203328,25.01.14
RSV B 2024,293T-TIM1,2,8,2.03E+06,12.5,162160,25.01.14
RSV B 2024,293T-TIM1,2,16,1.18E+06,6.25,188160,25.01.14
RSV B 2024,293T-TIM1,2,32,6.67E+05,3.125,213344,25.01.14
RSV B 2024,293T-TIM1,2,8,2.00E+06,12.5,159600,25.01.14
RSV B 2024,293T-TIM1,2,16,1.31E+06,6.25,210080,25.01.14
RSV B 2024,293T-TIM1,2,32,5.68E+05,3.125,181632,25.01.14
No RSV,293T-TIM1,1,8,2.41E+04,5.625,4288,25.01.14
No RSV,293T-TIM1,1,16,1.49E+04,2.8125,5287.111111,25.01.14
No RSV,293T-TIM1,1,32,1.64E+03,1.40625,1164.8,25.01.14
No RSV,293T-TIM1,1,8,1.47E+04,5.625,2615.111111,25.01.14
No RSV,293T-TIM1,1,16,5.96E+03,2.8125,2117.333333,25.01.14
No RSV,293T-TIM1,1,32,6.66E+03,1.40625,4736,25.01.14
No RSV,293T-TIM1,2,8,1.54E+04,5.625,2743.111111,25.01.14
No RSV,293T-TIM1,2,16,1.92E+03,2.8125,681.2444444,25.01.14
No RSV,293T-TIM1,2,32,1.06E+03,1.40625,754.4888889,25.01.14
No RSV,293T-TIM1,2,8,1.56E+04,5.625,2764.444444,25.01.14
No RSV,293T-TIM1,2,16,7.14E+03,2.8125,2537.955556,25.01.14
No RSV,293T-TIM1,2,32,2.71E+03,1.40625,1926.4,25.01.14
RSV B 2019 ,293T-TIM1,1,8,7.13E+06,12.5,570000,25.01.14
RSV B 2019 ,293T-TIM1,1,16,3.80E+06,6.25,608000,25.01.14
RSV B 2019 ,293T-TIM1,1,32,1.48E+06,3.125,473280,25.01.14
RSV B 2019 ,293T-TIM1,1,8,7.10E+06,12.5,568320,25.01.14
RSV B 2019 ,293T-TIM1,1,16,3.18E+06,6.25,508000,25.01.14
RSV B 2019 ,293T-TIM1,1,32,1.59E+06,3.125,509760,25.01.14
RSV B 2019 ,293T-TIM1,2,8,5.93E+06,12.5,474160,25.01.14
