virus,target cell,replicate ,dilution,RLU,uL,RLU/uL,date
RSV B 2019 ,293T-TIM1,2,16,3.90E+06,6.25,624640,25.01.14
RSV B 2019 ,293T-TIM1,2,32,1.32E+06,3.125,423360,25.01.14
RSV B 2019 ,293T-TIM1,2,8,5.60E+06,12.5,447840,25.01.14
RSV B 2019 ,293T-TIM1,2,16,2.89E+06,6.25,462880,25.01.14
RSV B 2019 ,293T-TIM1,2,32,1.50E+06,3.125,479040,25.01.14
RSV B 1992 ,293T-TIM1,1,8,1.92E+06,5.625,341688.8889,25.01.14
RSV B 1992 ,293T-TIM1,1,16,8.01E+05,2.8125,284728.8889,25.01.14
RSV B 1992 ,293T-TIM1,1,32,3.52E+05,1.40625,249955.5556,25.01.14
RSV B 1992 ,293T-TIM1,1,8,2.34E+06,5.625,416177.7778,25.01.14
RSV B 1992 ,293T-TIM1,1,16,1.09E+06,2.8125,386488.8889,25.01.14
RSV B 1992 ,293T-TIM1,1,32,4.03E+05,1.40625,286862.2222,25.01.14
RSV B 1992 ,293T-TIM1,2,8,1.87E+06,5.625,332622.2222,25.01.14
RSV B 1992 ,293T-TIM1,2,16,9.37E+05,2.8125,333191.1111,25.01.14
RSV B 1992 ,293T-TIM1,2,32,6.32E+05,1.40625,449137.7778,25.01.14
RSV B 1992 ,293T-TIM1,2,8,1.64E+06,5.625,291911.1111,25.01.14
RSV B 1992 ,293T-TIM1,2,16,8.43E+05,2.8125,299768.8889,25.01.14
RSV B 1992 ,293T-TIM1,2,32,4.79E+05,1.40625,340337.7778,25.01.14
RSV Long,293T,1,32,4277000,1.78125,2401122.807,25.01.14
RSV Long,293T,1,128,906100,0.4453125,2034750.877,25.01.14
RSV Long,293T,1,512,176200,0.111328125,1582708.772,25.01.14
RSV Long,293T,1,32,3889000,1.78125,2183298.246,25.01.14
RSV Long,293T,1,128,953700,0.4453125,2141642.105,25.01.14
RSV Long,293T,1,512,182800,0.111328125,1641992.982,25.01.14
RSV Long,293T,2,32,3628000,1.78125,2036771.93,25.01.14
RSV Long,293T,2,128,912600,0.4453125,2049347.368,25.01.14
RSV Long,293T,2,512,237200,0.111328125,2130638.596,25.01.14
RSV Long,293T,2,32,3498000,1.78125,1963789.474,25.01.14
RSV Long,293T,2,128,916300,0.4453125,2057656.14,25.01.14
RSV Long,293T,2,512,200100,0.111328125,1797389.474,25.01.14
RSV A2,293T,1,32,1223000,3.125,391360,25.01.14
RSV A2,293T,1,128,399500,0.78125,511360,25.01.14
RSV A2,293T,1,512,165000,0.1953125,844800,25.01.14
RSV A2,293T,1,32,1302000,3.125,416640,25.01.14
RSV A2,293T,1,128,288600,0.78125,369408,25.01.14
RSV A2,293T,1,512,26430,0.1953125,135321.6,25.01.14
RSV A2,293T,2,32,1291000,3.125,413120,25.01.14
RSV A2,293T,2,128,370200,0.78125,473856,25.01.14
RSV A2,293T,2,512,101100,0.1953125,517632,25.01.14
RSV A2,293T,2,32,1410000,3.125,451200,25.01.14
RSV A2,293T,2,128,387900,0.78125,496512,25.01.14
RSV A2,293T,2,512,146500,0.1953125,750080,25.01.14
RSV B1,293T,1,32,362500,2.09375,173134.3284,25.01.14
RSV B1,293T,1,128,123900,0.5234375,236704.4776,25.01.14
RSV B1,293T,1,512,36890,0.130859375,281905.6716,25.01.14
RSV B1,293T,1,32,464600,2.09375,221898.5075,25.01.14
RSV B1,293T,1,128,71930,0.5234375,137418.5075,25.01.14
RSV B1,293T,1,512,1512,0.130859375,11554.38806,25.01.14
RSV B1,293T,2,32,363900,2.09375,173802.9851,25.01.14
RSV B1,293T,2,128,89950,0.5234375,171844.7761,25.01.14
RSV B1,293T,2,512,15600,0.130859375,119211.9403,25.01.14
RSV B1,293T,2,32,290200,2.09375,138602.9851,25.01.14
RSV B1,293T,2,128,111000,0.5234375,212059.7015,25.01.14
RSV B1,293T,2,512,29850,0.130859375,228107.4627,25.01.14
RSV A 1982,293T,1,8,946800,12.5,75744,25.01.14
RSV A 1982,293T,1,16,457400,6.25,73184,25.01.14
RSV A 1982,293T,1,32,350900,3.125,112288,25.01.14
RSV A 1982,293T,1,8,978300,12.5,78264,25.01.14
RSV A 1982,293T,1,16,491400,6.25,78624,25.01.14
RSV A 1982,293T,1,32,132700,3.125,42464,25.01.14
RSV A 1982,293T,2,8,1159000,12.5,92720,25.01.14
RSV A 1982,293T,2,16,548900,6.25,87824,25.01.14
RSV A 1982,293T,2,32,264100,3.125,84512,25.01.14
RSV A 1982,293T,2,8,1047000,12.5,83760,25.01.14
RSV A 1982,293T,2,16,640700,6.25,102512,25.01.14
RSV A 1982,293T,2,32,361900,3.125,115808,25.01.14
RSV A 2020,293T,1,8,4386000,12.5,350880,25.01.14
RSV A 2020,293T,1,16,2260000,6.25,361600,25.01.14
RSV A 2020,293T,1,32,1260000,3.125,403200,25.01.14
RSV A 2020,293T,1,8,4886000,12.5,390880,25.01.14
RSV A 2020,293T,1,16,2391000,6.25,382560,25.01.14
RSV A 2020,293T,1,32,1215000,3.125,388800,25.01.14
RSV A 2020,293T,2,8,4771000,12.5,381680,25.01.14
RSV A 2020,293T,2,16,1641000,6.25,262560,25.01.14
RSV A 2020,293T,2,32,865300,3.125,276896,25.01.14
RSV A 2020,293T,2,8,4051000,12.5,324080,25.01.14
RSV A 2020,293T,2,16,2257000,6.25,361120,25.01.14
RSV A 2020,293T,2,32,930400,3.125,297728,25.01.14
RSV B 1982,293T,1,8,110900,12.5,8872,25.01.14
RSV B 1982,293T,1,16,84080,6.25,13452.8,25.01.14
RSV B 1982,293T,1,32,22550,3.125,7216,25.01.14
RSV B 1982,293T,1,8,109500,12.5,8760,25.01.14
RSV B 1982,293T,1,16,20150,6.25,3224,25.01.14
RSV B 1982,293T,1,32,19380,3.125,6201.6,25.01.14
RSV B 1982,293T,2,8,75400,12.5,6032,25.01.14
RSV B 1982,293T,2,16,24190,6.25,3870.4,25.01.14
RSV B 1982,293T,2,32,14060,3.125,4499.2,25.01.14
RSV B 1982,293T,2,8,46140,12.5,3691.2,25.01.14
RSV B 1982,293T,2,16,110800,6.25,17728,25.01.14
RSV B 1982,293T,2,32,20500,3.125,6560,25.01.14
RSV B 2024,293T,1,8,578600,12.5,46288,25.01.14
RSV B 2024,293T,1,16,421800,6.25,67488,25.01.14
RSV B 2024,293T,1,32,231200,3.125,73984,25.01.14
RSV B 2024,293T,1,8,632500,12.5,50600,25.01.14
RSV B 2024,293T,1,16,476900,6.25,76304,25.01.14
RSV B 2024,293T,1,32,164000,3.125,52480,25.01.14
RSV B 2024,293T,2,8,681700,12.5,54536,25.01.14
RSV B 2024,293T,2,16,287500,6.25,46000,25.01.14
RSV B 2024,293T,2,32,140000,3.125,44800,25.01.14
RSV B 2024,293T,2,8,680100,12.5,54408,25.01.14
RSV B 2024,293T,2,16,468400,6.25,74944,25.01.14
RSV B 2024,293T,2,32,189100,3.125,60512,25.01.14
No RSV,293T,1,8,496.8,5.625,88.32,25.01.14
No RSV,293T,1,16,516.6,2.8125,183.68,25.01.14
No RSV,293T,1,32,321.1,1.40625,228.3377778,25.01.14
No RSV,293T,1,8,3372,5.625,599.4666667,25.01.14
No RSV,293T,1,16,1477,2.8125,525.1555556,25.01.14
No RSV,293T,1,32,852.3,1.40625,606.08,25.01.14
No RSV,293T,2,8,543.3,5.625,96.58666667,25.01.14
No RSV,293T,2,16,416.8,2.8125,148.1955556,25.01.14
No RSV,293T,2,32,240.3,1.40625,170.88,25.01.14
No RSV,293T,2,8,1667,5.625,296.3555556,25.01.14
No RSV,293T,2,16,1026,2.8125,364.8,25.01.14
No RSV,293T,2,32,543.9,1.40625,386.7733333,25.01.14
RSV B 2019 ,293T,1,8,1310000,12.5,104800,25.01.14
RSV B 2019 ,293T,1,16,890200,6.25,142432,25.01.14
RSV B 2019 ,293T,1,32,547500,3.125,175200,25.01.14
RSV B 2019 ,293T,1,8,1694000,12.5,135520,25.01.14
RSV B 2019 ,293T,1,16,928600,6.25,148576,25.01.14
RSV B 2019 ,293T,1,32,538600,3.125,172352,25.01.14
RSV B 2019 ,293T,2,8,1514000,12.5,121120,25.01.14
RSV B 2019 ,293T,2,16,607700,6.25,97232,25.01.14
RSV B 2019 ,293T,2,32,296300,3.125,94816,25.01.14
RSV B 2019 ,293T,2,8,1147000,12.5,91760,25.01.14
RSV B 2019 ,293T,2,16,761800,6.25,121888,25.01.14
RSV B 2019 ,293T,2,32,405800,3.125,129856,25.01.14
RSV B 1992 ,293T,1,8,661200,5.625,117546.6667,25.01.14
RSV B 1992 ,293T,1,16,360800,2.8125,128284.4444,25.01.14
RSV B 1992 ,293T,1,32,97110,1.40625,69056,25.01.14
RSV B 1992 ,293T,1,8,646400,5.625,114915.5556,25.01.14
RSV B 1992 ,293T,1,16,427900,2.8125,152142.2222,25.01.14
RSV B 1992 ,293T,1,32,176300,1.40625,125368.8889,25.01.14
RSV B 1992 ,293T,2,8,618600,5.625,109973.3333,25.01.14
RSV B 1992 ,293T,2,16,313500,2.8125,111466.6667,25.01.14
RSV B 1992 ,293T,2,32,102700,1.40625,73031.11111,25.01.14
RSV B 1992 ,293T,2,8,616200,5.625,109546.6667,25.01.14
RSV B 1992 ,293T,2,16,308600,2.8125,109724.4444,25.01.14
RSV B 1992 ,293T,2,32,203400,1.40625,144640,25.01.14
VSV-G ,293T,1,1000,23960000,0.1,239600000,25.02.10
VSV-G ,293T,1,4000,5374000,0.025,214960000,25.02.10
VSV-G ,293T,1,16000,1563000,0.00625,250080000,25.02.10
VSV-G ,293T,1,64000,273700,0.0015625,175168000,25.02.10
VSV-G ,293T,1,256000,59190,0.000390625,151526400,25.02.10
VSV-G ,293T,1,1023999.476,27400,9.77E-05,280576000,25.02.10
VSV-G ,293T,2,1000,27440000,0.1,274400000,25.02.10
VSV-G ,293T,2,4000,5134000,0.025,205360000,25.02.10
VSV-G ,293T,2,16000,1108000,0.00625,177280000,25.02.10
VSV-G ,293T,2,64000,211700,0.0015625,135488000,25.02.10
VSV-G ,293T,2,256000,45220,0.000390625,115763200,25.02.10
VSV-G ,293T,2,1023999.476,29100,9.77E-05,297984000,25.02.10
VSV-G ,293T-TIM1,1,1000,146700000,0.1,1467000000,25.02.10
VSV-G ,293T-TIM1,1,4000,34380000,0.025,1375200000,25.02.10
VSV-G ,293T-TIM1,1,16000,9404000,0.00625,1504640000,25.02.10
VSV-G ,293T-TIM1,1,64000,2262000,0.0015625,1447680000,25.02.10
VSV-G ,293T-TIM1,1,256000,584700,0.000390625,1496832000,25.02.10
VSV-G ,293T-TIM1,1,1023999.476,141800,9.77E-05,1452032000,25.02.10
VSV-G ,293T-TIM1,2,1000,153100000,0.1,1531000000,25.02.10
VSV-G ,293T-TIM1,2,4000,41020000,0.025,1640800000,25.02.10
VSV-G ,293T-TIM1,2,16000,8847000,0.00625,1415520000,25.02.10
VSV-G ,293T-TIM1,2,64000,2131000,0.0015625,1363840000,25.02.10
VSV-G ,293T-TIM1,2,256000,564100,0.000390625,1444096000,25.02.10
VSV-G ,293T-TIM1,2,1023999.476,227900,9.77E-05,2333696000,25.02.10
