date,BEI or IntRef,serum,virus,replicate,concentration,fraction infectivity
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 1,1,0.01,0.000540254
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 1,1,0.0025,0.004594295
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 1,1,0.000625,0.082250396
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 1,1,0.00015625,0.320047544
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 1,1,3.90625E-05,0.687876387
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 1,1,9.76563E-06,0.723771791
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 1,1,2.44141E-06,1.036450079
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 1,1,6.10352E-07,0.950871632
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 1,1,1.52588E-07,0.944532488
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 1,2,0.01,0.00068954
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 1,2,0.0025,0.001133914
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 1,2,0.000625,0.098256735
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 1,2,0.00015625,0.373534073
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 1,2,3.90625E-05,0.771711569
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 1,2,9.76563E-06,0.994453249
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 1,2,2.44141E-06,0.966719493
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 1,2,6.10352E-07,1.022979398
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 1,2,1.52588E-07,0.904120444
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 1,3,0.01,0.00079794
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 1,3,0.0025,0.001623613
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 1,3,0.000625,0.091125198
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 1,3,0.00015625,0.38066561
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 1,3,3.90625E-05,0.912836767
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 1,3,9.76563E-06,0.832805071
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 1,3,2.44141E-06,0.943740095
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 1,3,6.10352E-07,0.828843106
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 1,3,1.52588E-07,1.097464342
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 1,1,0.01,0.000563297
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 1,1,0.0025,0.000599428
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 1,1,0.000625,0.008550409
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 1,1,0.00015625,0.103079019
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 1,1,3.90625E-05,0.352479564
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 1,1,9.76563E-06,0.648555858
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 1,1,2.44141E-06,0.757275204
