date,BEI or IntRef,serum,virus,replicate,concentration,fraction infectivity
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 1,1,6.10352E-07,0.646348774
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 1,1,1.52588E-07,0.844414169
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 1,2,0.01,0.000804523
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 1,2,0.0025,0.000843597
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 1,2,0.000625,0.005856948
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 1,2,0.00015625,0.119918256
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 1,2,3.90625E-05,0.347084469
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 1,2,9.76563E-06,0.699482289
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 1,2,2.44141E-06,0.741743869
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 1,2,6.10352E-07,0.928610354
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 1,2,1.52588E-07,0.785149864
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 1,3,0.01,0.0007303
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 1,3,0.0025,0.000748692
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 1,3,0.000625,0.028340599
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 1,3,0.00015625,0.135367847
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 1,3,3.90625E-05,0.365313351
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 1,3,9.76563E-06,0.576457766
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 1,3,2.44141E-06,0.665722071
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 1,3,6.10352E-07,0.719427793
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 1,3,1.52588E-07,0.688283379
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 2,1,0.01,0.000731696
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 2,1,0.0025,0.001256735
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 2,1,0.000625,0.127971474
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 2,1,0.00015625,0.355942948
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 2,1,3.90625E-05,0.802694136
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 2,1,9.76563E-06,0.766244057
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 2,1,2.44141E-06,0.767987322
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 2,1,6.10352E-07,0.978605388
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 2,1,1.52588E-07,0.932646593
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 2,2,0.01,0.000689144
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 2,2,0.0025,0.001169572
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 2,2,0.000625,0.084706815
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 2,2,0.00015625,0.365689382
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 2,2,3.90625E-05,0.638114105
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 2,2,9.76563E-06,0.860538827
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 2,2,2.44141E-06,0.881933439
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 2,2,6.10352E-07,0.97385103
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 2,2,1.52588E-07,0.848652932
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 2,3,0.01,0.001158479
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 2,3,0.0025,0.00113233
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 2,3,0.000625,0.135974643
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 2,3,0.00015625,0.356339144
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 2,3,3.90625E-05,0.6681458
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 2,3,9.76563E-06,0.835974643
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 2,3,2.44141E-06,0.964342314
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 2,3,6.10352E-07,0.979397781
25.01.24,IntRef,NIBSC 16/284,RSV A2 Replicate 2,3,1.52588E-07,1.04199683
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 2,1,0.01,0.000771826
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 2,1,0.0025,0.000905722
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 2,1,0.000625,0.012073569
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 2,1,0.00015625,0.093760218
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 2,1,3.90625E-05,0.363351499
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 2,1,9.76563E-06,0.864032698
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 2,1,2.44141E-06,0.67119891
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 2,1,6.10352E-07,0.855858311
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 2,1,1.52588E-07,0.795613079
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 2,2,0.01,0.000618556
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 2,2,0.0025,0.00075376
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 2,2,0.000625,0.004360218
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 2,2,0.00015625,0.119100817
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 2,2,3.90625E-05,0.464305177
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 2,2,9.76563E-06,0.612833787
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 2,2,2.44141E-06,0.771743869
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 2,2,6.10352E-07,0.879564033
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 2,2,1.52588E-07,0.780163488
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 2,3,0.01,0.00069188
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 2,3,0.0025,0.000670463
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 2,3,0.000625,0.020117166
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 2,3,0.00015625,0.106103542
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 2,3,3.90625E-05,0.372179837
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 2,3,9.76563E-06,0.664741144
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 2,3,2.44141E-06,0.701362398
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 2,3,6.10352E-07,0.811880109
25.01.24,IntRef,NR-4021 ,RSV A2 Replicate 2,3,1.52588E-07,0.90653951
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 3,1,0.01,0.00024636
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 3,1,0.0025,0.000760335
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 3,1,0.000625,0.086610879
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 3,1,0.00015625,0.518158996
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 3,1,3.90625E-05,0.867782427
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 3,1,9.76563E-06,0.960669456
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 3,1,2.44141E-06,1.020083682
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 3,1,6.10352E-07,1.087866109
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 3,1,1.52588E-07,1.061924686
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 3,2,0.01,0.000290962
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 3,2,0.0025,0.018058577
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 3,2,0.000625,0.184937238
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 3,2,0.00015625,0.621422594
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 3,2,3.90625E-05,0.871129707
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 3,2,9.76563E-06,0.808702929
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 3,2,2.44141E-06,1.10041841
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 3,2,6.10352E-07,1.141422594
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 3,2,1.52588E-07,1.210041841
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 3,3,0.01,0.001587448
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 3,3,0.0025,0.012669456
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 3,3,0.000625,0.131631799
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 3,3,0.00015625,0.579246862
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 3,3,3.90625E-05,0.892887029
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 3,3,9.76563E-06,1.177405858
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 3,3,2.44141E-06,0.976569038
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 3,3,6.10352E-07,1.376569038
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 3,3,1.52588E-07,1.144769874
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 3,1,0.01,0.000167452
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 3,1,0.0025,0.000506616
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 3,1,0.000625,0.047209125
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 3,1,0.00015625,0.146235741
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 3,1,3.90625E-05,0.523117871
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 3,1,9.76563E-06,0.875285171
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 3,1,2.44141E-06,0.72851711
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 3,1,6.10352E-07,0.820532319
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 3,1,1.52588E-07,0.876045627
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 3,2,0.01,0.000212852
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 3,2,0.0025,0.000394144
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 3,2,0.000625,0.026060837
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 3,2,0.00015625,0.166844106
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 3,2,3.90625E-05,0.453764259
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 3,2,9.76563E-06,0.866159696
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 3,2,2.44141E-06,0.841825095
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 3,2,6.10352E-07,0.857794677
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 3,2,1.52588E-07,0.985551331
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 3,3,0.01,0.000622738
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 3,3,0.0025,0.000342662
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 3,3,0.000625,0.022288973
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 3,3,0.00015625,0.24661597
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 3,3,3.90625E-05,0.412547529
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 3,3,9.76563E-06,0.771102662
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 3,3,2.44141E-06,0.802281369
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 3,3,6.10352E-07,0.99391635
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 3,3,1.52588E-07,1.015969582
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 4,1,0.01,0.00028761
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 4,1,0.0025,0.001441239
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 4,1,0.000625,0.132007288
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 4,1,0.00015625,0.453234133
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 4,1,3.90625E-05,0.7013058
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 4,1,9.76563E-06,1.03947768
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 4,1,2.44141E-06,0.960218646
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 4,1,6.10352E-07,1.038566657
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 4,1,1.52588E-07,1.022168236
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 4,2,0.01,0.00029089
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 4,2,0.0025,0.001086851
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 4,2,0.000625,0.153325235
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 4,2,0.00015625,0.424263589
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 4,2,3.90625E-05,0.97752809
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 4,2,9.76563E-06,1.094139083
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 4,2,2.44141E-06,1.002125721
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 4,2,6.10352E-07,1.321894929
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 4,2,1.52588E-07,1.162465837
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 4,3,0.01,0.000326693
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 4,3,0.0025,0.000817188
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 4,3,0.000625,0.13674461
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 4,3,0.00015625,0.562465837
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 4,3,3.90625E-05,1.025812329
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 4,3,9.76563E-06,1.178864258
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 4,3,2.44141E-06,1.365624051
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 4,3,6.10352E-07,1.206194959
24.10.31,IntRef,NIBSC 16/284,RSV A2 Replicate 4,3,1.52588E-07,1.151533556
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 4,1,0.01,0.00027531
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 4,1,0.0025,0.000468942
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 4,1,0.000625,0.034962223
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 4,1,0.00015625,0.132433891
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 4,1,3.90625E-05,0.5998381
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 4,1,9.76563E-06,0.677873718
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 4,1,2.44141E-06,0.867781975
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 4,1,6.10352E-07,0.927684835
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 4,1,1.52588E-07,0.897733405
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 4,2,0.01,0.000326309
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 4,2,0.0025,0.000367512
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 4,2,0.000625,0.009940637
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 4,2,0.00015625,0.251187264
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 4,2,3.90625E-05,0.577091203
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 4,2,9.76563E-06,0.714705882
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 4,2,2.44141E-06,0.925256341
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 4,2,6.10352E-07,1.026443605
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 4,2,1.52588E-07,1.028062601
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 4,3,0.01,0.000253211
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 4,3,0.0025,0.000406773
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 4,3,0.000625,0.014449541
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 4,3,0.00015625,0.183837021
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 4,3,3.90625E-05,0.654722072
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 4,3,9.76563E-06,1.059633028
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 4,3,2.44141E-06,0.918780356
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 4,3,6.10352E-07,1.013491635
24.10.31,IntRef,NR-4021 ,RSV A2 Replicate 4,3,1.52588E-07,1.018348624
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 5,1,0.01,0.000118261
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 5,1,0.0025,0.000320814
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 5,1,0.000625,0.001276506
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 5,1,0.00015625,0.178077856
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 5,1,3.90625E-05,0.598164363
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 5,1,9.76563E-06,1.139360692
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 5,1,2.44141E-06,1.067623167
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 5,1,6.10352E-07,1.241692162
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 5,1,1.52588E-07,0.995885642
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 5,2,0.01,8.71927E-05
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 5,2,0.0025,0.000342441
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 5,2,0.000625,0.002120477
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 5,2,0.00015625,0.25593417
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 5,2,3.90625E-05,0.678447094
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 5,2,9.76563E-06,1.176284418
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 5,2,2.44141E-06,0.913598481
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 5,2,6.10352E-07,1.262791434
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 5,2,1.52588E-07,1.217427999
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 5,3,0.01,6.28864E-05
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 5,3,0.0025,0.000280726
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 5,3,0.000625,0.014147062
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 5,3,0.00015625,0.241797658
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 5,3,3.90625E-05,0.555016352
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 5,3,9.76563E-06,1.017828885
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 5,3,2.44141E-06,0.860639308
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 5,3,6.10352E-07,1.009705665
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 5,3,1.52588E-07,1.038717164
24.11.01,IntRef,NR-4021 ,RSV A2 Replicate 5,1,0.01,0.00026435
24.11.01,IntRef,NR-4021 ,RSV A2 Replicate 5,1,0.0025,0.000325628
24.11.01,IntRef,NR-4021 ,RSV A2 Replicate 5,1,0.000625,0.000541421
24.11.01,IntRef,NR-4021 ,RSV A2 Replicate 5,1,0.00015625,0.041219361
24.11.01,IntRef,NR-4021 ,RSV A2 Replicate 5,1,3.90625E-05,0.387527149
24.11.01,IntRef,NR-4021 ,RSV A2 Replicate 5,1,9.76563E-06,0.752559727
24.11.01,IntRef,NR-4021 ,RSV A2 Replicate 5,1,2.44141E-06,0.92662116
24.11.01,IntRef,NR-4021 ,RSV A2 Replicate 5,1,6.10352E-07,1.034129693
24.11.01,IntRef,NR-4021 ,RSV A2 Replicate 5,1,1.52588E-07,0.838039094
24.11.01,IntRef,NR-4021 ,RSV A2 Replicate 5,2,0.01,0.000217034
24.11.01,IntRef,NR-4021 ,RSV A2 Replicate 5,2,0.0025,0.00016072
24.11.01,IntRef,NR-4021 ,RSV A2 Replicate 5,2,0.000625,0.000322526
24.11.01,IntRef,NR-4021 ,RSV A2 Replicate 5,2,0.00015625,0.044756438
24.11.01,IntRef,NR-4021 ,RSV A2 Replicate 5,2,3.90625E-05,0.257679181
24.11.01,IntRef,NR-4021 ,RSV A2 Replicate 5,2,9.76563E-06,0.896524977
24.11.01,IntRef,NR-4021 ,RSV A2 Replicate 5,2,2.44141E-06,0.725721378
24.11.01,IntRef,NR-4021 ,RSV A2 Replicate 5,2,6.10352E-07,0.698883028
24.11.01,IntRef,NR-4021 ,RSV A2 Replicate 5,2,1.52588E-07,1.053366429
24.11.01,IntRef,NR-4021 ,RSV A2 Replicate 5,3,0.01,0.000169407
24.11.01,IntRef,NR-4021 ,RSV A2 Replicate 5,3,0.0025,0.000781415
24.11.01,IntRef,NR-4021 ,RSV A2 Replicate 5,3,0.000625,0.000311821
24.11.01,IntRef,NR-4021 ,RSV A2 Replicate 5,3,0.00015625,0.033307478
24.11.01,IntRef,NR-4021 ,RSV A2 Replicate 5,3,3.90625E-05,0.263108905
24.11.01,IntRef,NR-4021 ,RSV A2 Replicate 5,3,9.76563E-06,0.784052125
24.11.01,IntRef,NR-4021 ,RSV A2 Replicate 5,3,2.44141E-06,0.848433137
24.11.01,IntRef,NR-4021 ,RSV A2 Replicate 5,3,6.10352E-07,0.953614645
24.11.01,IntRef,NR-4021 ,RSV A2 Replicate 5,3,1.52588E-07,0.985572448
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 6,1,0.01,0.00020258
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 6,1,0.0025,0.000599101
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 6,1,0.000625,0.024292983
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 6,1,0.00015625,0.285410011
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 6,1,3.90625E-05,0.679209561
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 6,1,9.76563E-06,0.835167436
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 6,1,2.44141E-06,0.898828541
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 6,1,6.10352E-07,1.077268962
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 6,1,1.52588E-07,1.263755769
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 6,2,0.01,0.000248846
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 6,2,0.0025,0.000420897
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 6,2,0.000625,0.023204355
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 6,2,0.00015625,0.243876464
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 6,2,3.90625E-05,0.710685126
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 6,2,9.76563E-06,0.883800734
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 6,2,2.44141E-06,0.978345758
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 6,2,6.10352E-07,1.072654124
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 6,2,1.52588E-07,0.837179032
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 6,3,0.01,0.000191812
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 6,3,0.0025,0.000507041
24.11.01,IntRef,NIBSC 16/284,RSV A2 Replicate 6,3,0.000625,0.000781564
