virus,background
VSVG,no 
Long,no 
A2,no 
BWV,yes
A 1982,yes
A 2020,yes
B 1982,yes
B 2024,yes
B N201T,yes
B N201S,yes
B K68Q,yes
Bald,no 
B 2019,yes
B 1992,yes
