,Unnamed: 0,serum,virus,replicate,nreplicates,ic50,ic50_bound,ic50_str,midpoint,midpoint_bound,midpoint_bound_type,slope,top,bottom,r2,rmsd,NT50,Experiment_Rep
0,0,85_1,RSV B N201T,average,2,0.0017575218178125,interpolated,0.00176,0.0017575218178125,0.0017575218178125,interpolated,1.863186317764364,1.0,0.0,0.9518462867454138,0.0849359952778584,568.9829792523716,1
1,1,85_1,RSV B N201S,average,2,0.0006470635383629,interpolated,0.000647,0.0006470635383629,0.0006470635383629,interpolated,0.9566506439776647,1.0,0.0,0.9184913246316804,0.0999796526741367,1545.44328448802,1
2,2,85_1,RSV B 1992,average,2,0.0008865117245449,interpolated,0.000887,0.0008865117245449,0.0008865117245449,interpolated,1.3763824544934908,1.0,0.0,0.9762090196527088,0.0607263112454813,1128.016666122899,1
3,3,85_1,RSV B 2019,average,2,0.0006561722295692,interpolated,0.000656,0.0006561722295692,0.0006561722295692,interpolated,1.4090650739897386,1.0,0.0,0.98593351456873,0.0487948157803772,1523.9901278000364,1
4,4,85_1,RSV B 1982,average,2,0.0005624323160838,interpolated,0.000562,0.0005624323160838,0.0005624323160838,interpolated,0.9593014568404018,1.0,0.0,0.7446271493287899,0.2121695030080565,1777.9917181199176,1
5,5,85_1,RSV B 2024,average,2,0.0004151588560976,interpolated,0.000415,0.0004151588560976,0.0004151588560976,interpolated,0.6978234668070104,1.0,0.0,0.9480373826039552,0.0759329037152606,2408.716531786833,1
6,6,85_1,RSV A 1982,average,2,0.0005029164403506,interpolated,0.000503,0.0005029164403506,0.0005029164403506,interpolated,1.2932150119316173,1.0,0.0,0.9441301998323376,0.0945022845388945,1988.4018889954489,1
7,7,85_1,RSV A 2020,average,2,0.0004481180053697,interpolated,0.000448,0.0004481180053697,0.0004481180053697,interpolated,1.4897545008684887,1.0,0.0,0.9573070310601772,0.100182294060078,2231.55505473384,1
8,8,85_2,RSV B N201T,average,2,0.0023207032907161,interpolated,0.00232,0.0023207032907161,0.0023207032907161,interpolated,2.452585843333902,1.0,0.0,0.829725394147051,0.1771272518842337,430.90385746444554,1
9,9,85_2,RSV B N201S,average,2,0.0011885830468318,interpolated,0.00119,0.0011885830468318,0.0011885830468318,interpolated,0.7275402557614498,1.0,0.0,0.9718119989412832,0.0506047865945811,841.3379297858294,1
