,serum,virus,replicate,nreplicates,ic50,ic50_bound,ic50_str,midpoint,midpoint_bound,midpoint_bound_type,slope,top,bottom,r2,rmsd
0,NIBSC 16/284,RSV B1 Replicate 1,average,3,6.49520054560675e-05,interpolated,6.5e-05,6.49520054560675e-05,6.49520054560675e-05,interpolated,1.545476822463198,1.0,0.0,0.980733306056635,0.05820444494346033
1,NIBSC 16/284,RSV B1 Replicate 2,average,3,6.291456218674006e-05,interpolated,6.29e-05,6.291456218674006e-05,6.291456218674006e-05,interpolated,1.4550977091241386,1.0,0.0,0.9934843031869519,0.035691215713390505
2,NIBSC 16/284,RSV B1 Replicate 3,average,3,5.504245471252525e-05,interpolated,5.5e-05,5.504245471252525e-05,5.504245471252525e-05,interpolated,1.0578378250609688,1.0,0.0,0.9627753956342314,0.08300617692153266
3,NIBSC 16/284,RSV B1 Replicate 4,average,3,5.808137378768444e-05,interpolated,5.81e-05,5.808137378768444e-05,5.808137378768444e-05,interpolated,1.2735429204311286,1.0,0.0,0.9854711224099587,0.05271993030100223
4,NIBSC 16/284,RSV B1 Replicate 5,average,3,7.609931188909664e-05,interpolated,7.61e-05,7.609931188909664e-05,7.609931188909664e-05,interpolated,1.0465920311199048,1.0,0.0,0.9709580037189048,0.07259216532223291
5,NIBSC 16/284,RSV B1 Replicate 6,average,3,0.00011076591693497417,interpolated,0.000111,0.00011076591693497417,0.00011076591693497417,interpolated,1.2291738123282792,1.0,0.0,0.9811742804610966,0.06192287690089747
6,NR-4021 ,RSV B1 Replicate 1,average,3,2.6071491035987897e-05,interpolated,2.61e-05,2.6071491035987897e-05,2.6071491035987897e-05,interpolated,1.4539987676387944,1.0,0.0,0.9970580390864616,0.024507749229023795
7,NR-4021 ,RSV B1 Replicate 2,average,3,2.9277393877447325e-05,interpolated,2.93e-05,2.9277393877447325e-05,2.9277393877447325e-05,interpolated,1.3076580360444299,1.0,0.0,0.9891216845635261,0.04390776897772551
8,NR-4021 ,RSV B1 Replicate 3,average,3,2.6396220309354103e-05,interpolated,2.64e-05,2.6396220309354103e-05,2.6396220309354103e-05,interpolated,1.2226874375870527,1.0,0.0,0.9919376556668698,0.040040002605035735
9,NR-4021 ,RSV B1 Replicate 4,average,3,3.127829763431506e-05,interpolated,3.13e-05,3.127829763431506e-05,3.127829763431506e-05,interpolated,1.1413476841347232,1.0,0.0,0.9903657877569991,0.041936454624087904
10,NR-4021 ,RSV B1 Replicate 5,average,3,3.3228079877760664e-05,interpolated,3.32e-05,3.3228079877760664e-05,3.3228079877760664e-05,interpolated,0.9313927528762869,1.0,0.0,0.9905393098234314,0.03893145897025624
11,NR-4021 ,RSV B1 Replicate 6,average,3,3.8591706197519405e-05,interpolated,3.86e-05,3.8591706197519405e-05,3.8591706197519405e-05,interpolated,1.1134455370968253,1.0,0.0,0.9930459414800943,0.03653890650709245
