virus,serum,geo_mean_NT50,lower,upper
RSV A 1982,85_1,1675.9668887623282,1412.6243933748885,1988.4018889954484
RSV A 1982,85_2,395.1900956996937,315.12495575767326,495.5977268243701
RSV A 1982,85_3,2311.196240294823,1452.3969294940075,3677.801813457334
RSV A 1982,85_4,647.8339477999278,646.5916048023463,649.0786778005453
RSV A 1982,85_6,1584.375128209952,1145.7626832829376,2190.8939639208124
RSV A 1982,85_7,1959.2316978181861,1394.623112346891,2752.4202142870713
RSV A 1982,85_8,5460.23150417169,4889.352394226661,6097.76626335085
RSV A 1982,86_1,1628.1780556109081,1350.998027923226,1962.2262401433838
RSV A 1982,86_10,853.6246945545397,741.1777472503768,983.1314038455312
RSV A 1982,86_12,402.1268220984524,326.51353512049894,495.25046792110237
RSV A 1982,86_2,2717.3220103677236,2325.992960306476,3174.488931839235
RSV A 1982,86_4,1319.694110538793,825.2468766259594,2110.38974483771
RSV A 1982,86_6,1414.496267007385,1069.3947238679145,1870.9646164524702
RSV A 1982,86_7,1359.6941505480302,1359.5266153142595,1359.8617064272626
RSV A 1982,86_8,1525.0734109757532,972.4801328184935,2391.6672746046956
RSV A 1982,86_9,11400.361770210317,10638.783217484859,12216.45801355082
RSV A 1982,87_4,1623.0849426832574,1208.6428169028052,2179.6387603708085
RSV A 1982,87_7,5715.916201800378,5614.311996605994,5819.359174508827
RSV A 1982,87_8,2507.155911788401,2159.966595527742,2910.151841713886
RSV A 1982,87_9,11202.791228555252,8850.983236365277,14179.501639428376
RSV A 2020,85_1,2551.4863747577388,2231.5550547338394,2917.285283535545
RSV A 2020,85_2,663.7409747287475,499.23190726573097,882.4597849659696
RSV A 2020,85_3,9390.428076967986,8593.244067403557,10261.565804141328
RSV A 2020,85_4,768.261239601279,680.088155837295,867.8659188631716
RSV A 2020,85_6,3434.311500419329,2944.634996267159,4005.4184973227766
RSV A 2020,85_7,3721.456046114164,3146.49744724273,4401.47666901676
RSV A 2020,85_8,7941.545194705465,7587.900985400493,8311.671462357743
RSV A 2020,86_1,4213.157686385045,4025.7744306977443,4409.262862566507
RSV A 2020,86_10,1509.3523606351948,1171.434830186825,1944.7471509718625
RSV A 2020,86_12,907.2785182318823,731.1521604207803,1125.831740921496
RSV A 2020,86_2,5642.91821574689,5370.2517222926745,5929.428942301763
RSV A 2020,86_4,3387.2979848519535,2762.6595295091256,4153.167451734738
