,serum,virus,replicate,nreplicates,ic50,ic50_bound,ic50_str,midpoint,midpoint_bound,midpoint_bound_type,slope,top,bottom,r2,rmsd
0,85_1,RSV B N201T,average,2,0.000982537395076426,interpolated,0.000983,0.000982537395076426,0.000982537395076426,interpolated,1.2686394050111922,1.0,0.0,0.98322174462971,0.0493387453741737
1,85_1,RSV B 1992,average,2,0.0008834594217406622,interpolated,0.000883,0.0008834594217406622,0.0008834594217406622,interpolated,1.7764285252088141,1.0,0.0,0.946568005449303,0.09788363075366786
2,85_1,RSV B 2019,average,2,0.0008325523316985775,interpolated,0.000833,0.0008325523316985775,0.0008325523316985775,interpolated,1.9336375450379615,1.0,0.0,0.9261458780798738,0.12797633094330807
3,85_1,RSV B 1982,average,2,0.0006482447579912183,interpolated,0.000648,0.0006482447579912183,0.0006482447579912183,interpolated,2.298667007240658,1.0,0.0,0.8794911958569411,0.1514579032272366
4,85_1,RSV B 2024,average,2,0.0004199681040604518,interpolated,0.00042,0.0004199681040604518,0.0004199681040604518,interpolated,0.7377153850703988,1.0,0.0,0.9555541772442137,0.07144098090842047
5,85_1,RSV A 1982,average,2,0.0007079022595744796,interpolated,0.000708,0.0007079022595744796,0.0007079022595744796,interpolated,1.8097479423426701,1.0,0.0,0.9738546886772234,0.07667141544891401
6,85_1,RSV A 2020,average,2,0.00034278443923321946,interpolated,0.000343,0.00034278443923321946,0.00034278443923321946,interpolated,1.131141145638571,1.0,0.0,0.9749406622030176,0.06096822047767122
7,85_2,RSV B N201T,average,2,0.0013406758491231996,interpolated,0.00134,0.0013406758491231996,0.0013406758491231996,interpolated,1.4461174081218107,1.0,0.0,0.9883100726719372,0.04026586365216441
8,85_2,RSV B 1992,average,2,0.0013562294105846535,interpolated,0.00136,0.0013562294105846535,0.0013562294105846535,interpolated,1.7297803520744301,1.0,0.0,0.9236237874367699,0.11112414077613944
9,85_2,RSV B 2019,average,2,0.001140287564949986,interpolated,0.00114,0.001140287564949986,0.001140287564949986,interpolated,2.0422753034137817,1.0,0.0,0.8998052198320441,0.14699397476908382
10,85_2,RSV B 1982,average,2,0.0013111237378183051,interpolated,0.00131,0.0013111237378183051,0.0013111237378183051,interpolated,1.8196388408151598,1.0,0.0,0.7661775369124789,0.22071285879465927
11,85_2,RSV B 2024,average,2,0.0007210889793583738,interpolated,0.000721,0.0007210889793583738,0.0007210889793583738,interpolated,0.9918989494470478,1.0,0.0,0.9660198813192856,0.06673154641098775
12,85_2,RSV A 1982,average,2,0.0031733443566716504,interpolated,0.00317,0.0031733443566716504,0.0031733443566716504,interpolated,2.093561517438964,1.0,0.0,0.8500436042236174,0.18615961786171814
13,85_2,RSV A 2020,average,2,0.0011331961150372871,interpolated,0.00113,0.0011331961150372871,0.0011331961150372871,interpolated,0.8750214809958636,1.0,0.0,0.9690506554990509,0.0643741657344469
14,85_4,RSV B N201T,average,2,0.002196258591173511,interpolated,0.0022,0.002196258591173511,0.002196258591173511,interpolated,1.7008890366713927,1.0,0.0,0.9726683864096377,0.05350790162683767
15,85_4,RSV B 1992,average,2,0.001358276698683782,interpolated,0.00136,0.001358276698683782,0.001358276698683782,interpolated,2.443430863185729,1.0,0.0,0.9356086727246128,0.1028928573902834
16,85_4,RSV B 2019,average,2,0.0018673748727480268,interpolated,0.00187,0.0018673748727480268,0.0018673748727480268,interpolated,1.7550954499285456,1.0,0.0,0.98168025948229,0.04895729451375124
17,85_4,RSV B 1982,average,2,0.0011806957534449668,interpolated,0.00118,0.0011806957534449668,0.0011806957534449668,interpolated,1.6043232929761182,1.0,0.0,0.7294642035518475,0.24934394699148446
18,85_4,RSV B 2024,average,2,0.0018370079204675079,interpolated,0.00184,0.0018370079204675079,0.0018370079204675079,interpolated,0.8495018169026688,1.0,0.0,0.9712537309416088,0.05517929626542021
19,85_4,RSV A 1982,average,2,0.0015406452779940759,interpolated,0.00154,0.0015406452779940759,0.0015406452779940759,interpolated,1.9953621035415845,1.0,0.0,0.9476970258774255,0.10798888358459674
20,85_4,RSV A 2020,average,2,0.0011522517226047184,interpolated,0.00115,0.0011522517226047184,0.0011522517226047184,interpolated,1.5221263531338192,1.0,0.0,0.9839439479532078,0.05105099570353674
21,85_6,RSV B N201T,average,2,0.0005281454586791796,interpolated,0.000528,0.0005281454586791796,0.0005281454586791796,interpolated,1.2110175772864524,1.0,0.0,0.9944696225138047,0.02905429212184963
22,85_6,RSV B 1992,average,2,0.0003948249179085589,interpolated,0.000395,0.0003948249179085589,0.0003948249179085589,interpolated,0.954992721679654,1.0,0.0,0.9247844364825983,0.10055860780443532
23,85_6,RSV B 2019,average,2,0.0005038098786607343,interpolated,0.000504,0.0005038098786607343,0.0005038098786607343,interpolated,1.6503373557491492,1.0,0.0,0.9366045438009416,0.12114362978678259
24,85_6,RSV B 1982,average,2,0.00034973062318281045,interpolated,0.00035,0.00034973062318281045,0.00034973062318281045,interpolated,1.327693899087458,1.0,0.0,0.9703821679415131,0.06600929931542505
25,85_6,RSV B 2024,average,2,0.00028574065167804165,interpolated,0.000286,0.00028574065167804165,0.00028574065167804165,interpolated,0.8114320113131199,1.0,0.0,0.9864668423528973,0.042062866083693286
26,85_6,RSV A 1982,average,2,0.0004564346866931819,interpolated,0.000456,0.0004564346866931819,0.0004564346866931819,interpolated,1.3880150024660771,1.0,0.0,0.9719622350017962,0.07204619957895073
27,85_6,RSV A 2020,average,2,0.0002496618020485432,interpolated,0.00025,0.0002496618020485432,0.0002496618020485432,interpolated,1.3615135740777045,1.0,0.0,0.9742356433157223,0.0714566042372912
28,86_1,RSV B N201T,average,2,0.0003413263872965474,interpolated,0.000341,0.0003413263872965474,0.0003413263872965474,interpolated,1.2895463560177791,1.0,0.0,0.9943223409046035,0.030929120105176188
29,86_1,RSV B 1992,average,2,0.0002872326167412158,interpolated,0.000287,0.0002872326167412158,0.0002872326167412158,interpolated,1.1068982617760816,1.0,0.0,0.8772754949072146,0.12854242002896865
30,86_1,RSV B 2019,average,2,0.00023942174209288448,interpolated,0.000239,0.00023942174209288448,0.00023942174209288448,interpolated,1.5676229276497375,1.0,0.0,0.9850572249469052,0.05570480313258224
31,86_1,RSV B 1982,average,2,0.00027649861308182296,interpolated,0.000276,0.00027649861308182296,0.00027649861308182296,interpolated,0.904949038434324,1.0,0.0,0.9703616183050919,0.06514705814073231
32,86_1,RSV B 2024,average,2,0.00013201731196374908,interpolated,0.000132,0.00013201731196374908,0.00013201731196374908,interpolated,0.766856120306261,1.0,0.0,0.9807945911052474,0.04714061034905715
33,86_1,RSV A 1982,average,2,0.0005096252305376892,interpolated,0.00051,0.0005096252305376892,0.0005096252305376892,interpolated,1.031251506543839,1.0,0.0,0.9376592860580738,0.09825619069783174
34,86_1,RSV A 2020,average,2,0.0002483994116448101,interpolated,0.000248,0.0002483994116448101,0.0002483994116448101,interpolated,1.1321788317707369,1.0,0.0,0.9673536606893023,0.07598552380439028
35,86_2,RSV B N201T,average,2,0.0004172006003021229,interpolated,0.000417,0.0004172006003021229,0.0004172006003021229,interpolated,1.1924235783267487,1.0,0.0,0.9914662130741988,0.037448026562884394
36,86_2,RSV B 1992,average,2,0.00035908737675975595,interpolated,0.000359,0.00035908737675975595,0.00035908737675975595,interpolated,0.8330384004448806,1.0,0.0,0.7633631677211801,0.1741278820955363
