,serum,virus,replicate,nreplicates,ic50,ic50_bound,ic50_str,midpoint,midpoint_bound,midpoint_bound_type,slope,top,bottom,r2,rmsd
0,NIBSC 16/284,RSV A2 Replicate 1,average,3,9.760122115591524e-05,interpolated,9.76e-05,9.760122115591524e-05,9.760122115591524e-05,interpolated,1.1621048102366944,1.0,0.0,0.9904823439132333,0.040075316990005314
1,NIBSC 16/284,RSV A2 Replicate 2,average,3,7.820458552035621e-05,interpolated,7.82e-05,7.820458552035621e-05,7.820458552035621e-05,interpolated,0.8601431374301391,1.0,0.0,0.9872892781112714,0.043828098774787314
2,NIBSC 16/284,RSV A2 Replicate 3,average,3,0.0001833243016994796,interpolated,0.000183,0.0001833243016994796,0.0001833243016994796,interpolated,1.4438931302397882,1.0,0.0,0.9679653690176301,0.08337837288961158
3,NIBSC 16/284,RSV A2 Replicate 4,average,3,0.00015652568024253976,interpolated,0.000157,0.00015652568024253976,0.00015652568024253976,interpolated,1.5886942604559635,1.0,0.0,0.9638869812935056,0.09205578927969267
4,NIBSC 16/284,RSV A2 Replicate 5,average,3,6.0687492772068054e-05,interpolated,6.07e-05,6.0687492772068054e-05,6.0687492772068054e-05,interpolated,1.6518840557687007,1.0,0.0,0.9670619242338225,0.08868615213406728
5,NIBSC 16/284,RSV A2 Replicate 6,average,3,6.718073658376103e-05,interpolated,6.72e-05,6.718073658376103e-05,6.718073658376103e-05,interpolated,1.3252405870834318,1.0,0.0,0.991375251894292,0.040930742784509484
6,NR-4021 ,RSV A2 Replicate 1,average,3,1.1123866227510685e-05,interpolated,1.11e-05,1.1123866227510685e-05,1.1123866227510685e-05,interpolated,0.5558992633721698,1.0,0.0,0.9433170924373576,0.07844968240789316
7,NR-4021 ,RSV A2 Replicate 2,average,3,1.6586784910041426e-05,interpolated,1.66e-05,1.6586784910041426e-05,1.6586784910041426e-05,interpolated,0.6626130232549687,1.0,0.0,0.9527813058504083,0.07724861752654931
8,NR-4021 ,RSV A2 Replicate 3,average,3,3.287339047637954e-05,interpolated,3.29e-05,3.287339047637954e-05,3.287339047637954e-05,interpolated,0.8738338383330865,1.0,0.0,0.9765910196696309,0.05963464954783426
9,NR-4021 ,RSV A2 Replicate 4,average,3,4.819389670329575e-05,interpolated,4.82e-05,4.819389670329575e-05,4.819389670329575e-05,interpolated,1.0998239390708295,1.0,0.0,0.9935799484841374,0.03350498479268395
10,NR-4021 ,RSV A2 Replicate 5,average,3,2.2124708425335565e-05,interpolated,2.21e-05,2.2124708425335565e-05,2.2124708425335565e-05,interpolated,1.3424278742379858,1.0,0.0,0.9807048735737934,0.05721378194204385
11,NR-4021 ,RSV A2 Replicate 6,average,3,1.959199213745543e-05,interpolated,1.96e-05,1.959199213745543e-05,1.959199213745543e-05,interpolated,1.1668924860922516,1.0,0.0,0.9986899851998892,0.015301848621672732
