virus,serum,geo_mean_NT50,lower,upper,NT50_rep1,NT50_rep2
RSV A 1982,85_1,1675.9668887623282,1412.6243933748885,1988.4018889954484,1988.4018889954489,1412.624393374889
RSV A 1982,85_2,395.1900956996937,315.12495575767326,495.5977268243701,495.5977268243706,315.1249557576732
RSV A 1982,85_3,2311.196240294823,1452.3969294940075,3677.801813457334,1452.3969294940064,3677.801813457336
RSV A 1982,85_4,647.8339477999278,646.5916048023463,649.0786778005453,646.5916048023461,649.078677800546
RSV A 1982,85_6,1584.375128209952,1145.7626832829376,2190.8939639208124,1145.762683282938,2190.8939639208124
RSV A 1982,85_7,1959.2316978181861,1394.623112346891,2752.4202142870713,1394.623112346891,2752.4202142870704
RSV A 1982,85_8,5460.23150417169,4889.352394226661,6097.76626335085,4889.352394226661,6097.766263350847
RSV A 1982,86_1,1628.1780556109081,1350.998027923226,1962.2262401433838,1350.9980279232263,1962.2262401433838
RSV A 1982,86_10,853.6246945545397,741.1777472503768,983.1314038455312,741.1777472503767,983.1314038455323
RSV A 1982,86_12,402.1268220984524,326.51353512049894,495.25046792110237,495.25046792110237,326.5135351204993
RSV A 1982,86_2,2717.3220103677236,2325.992960306476,3174.488931839235,2325.9929603064743,3174.4889318392334
RSV A 1982,86_4,1319.694110538793,825.2468766259594,2110.38974483771,825.2468766259591,2110.3897448377106
RSV A 1982,86_6,1414.496267007385,1069.3947238679145,1870.9646164524702,1069.3947238679143,1870.9646164524695
RSV A 1982,86_7,1359.6941505480302,1359.5266153142595,1359.8617064272626,1359.8617064272628,1359.5266153142602
RSV A 1982,86_8,1525.0734109757532,972.4801328184935,2391.6672746046956,2391.6672746046947,972.4801328184935
RSV A 1982,86_9,11400.361770210317,10638.783217484859,12216.45801355082,12216.458013550826,10638.78321748486
RSV A 1982,87_4,1623.0849426832574,1208.6428169028052,2179.6387603708085,1208.642816902805,2179.638760370807
